View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-167982-2025,BL023407,Business License,BSD-Business License,3600 I-70 DRIVE SOUTHEAST STE E COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2025-04-09
BLBI-167990-2025,BL024023,Business License,BSD-Business License,410 W OLD PLANK RD APT 103 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2025-04-09
BLBI-167969-2025,BL024116,Business License,BSD-Business License,5959 State Road P De Soto MO 63020,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2025-04-09
BLBI-167908-2025,BL024122,Business License,BSD-Business License,14 E BUSINESS LOOP 70   COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2025-04-09
BLBI-167915-2025,BL024123,Business License,BSD-Business License,26 BROADWAY VILLAGE DR APT E COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2025-04-09
BLBI-167931-2025,BL024125,Business License,BSD-Business License,38 N Eight ST Columbia MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2025-04-09
FGAS-167832-2025,BLDC-001470-2025,Permit,BSD-Fuel Gas Tag,4103 VAWTER SCHOOL RD STE 119 COLUMBIA MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2025-04-09
FGAS-167831-2025,BLDC-001470-2025,Permit,BSD-Fuel Gas Pressure,4103 VAWTER SCHOOL RD STE 119 COLUMBIA MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2025-04-09
BLDG-167940-2025,BLDC-001546-2024,Permit,BSD-Framing and Rough In's,4401 S PONDEROSA ST COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2025-04-09
ACI-167939-2025,BLDC-001546-2024,Permit,BSD-Above Ceiling Inspection,4401 S PONDEROSA ST COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Cancelled ,0,2025-04-09
BLDG-167867-2025,BLDC-001622-2025,Permit,BSD-Framing and Rough In's,403 N STADIUM BLVD STE 101 COL MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required,0,2025-04-09
BLDG-167956-2025,BLDR-000179-2025,Permit,BSD-Framing and Rough In's,5205 BUTTER CUP DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2025-04-09
FGAS-167958-2025,BLDR-000179-2025,Permit,BSD-Fuel Gas Pressure,5205 BUTTER CUP DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2025-04-09
FGAS-167959-2025,BLDR-000179-2025,Permit,BSD-Fuel Gas Tag,5205 BUTTER CUP DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2025-04-09
BLDG-167957-2025,BLDR-000179-2025,Permit,BSD-Insulation,5205 BUTTER CUP DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2025-04-09
FGAS-167965-2025,BLDR-000180-2025,Permit,BSD-Fuel Gas Tag,5209 BUTTER CUP DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2025-04-09
BLDG-167962-2025,BLDR-000180-2025,Permit,BSD-Framing and Rough In's,5209 BUTTER CUP DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Re-inspection required,0,2025-04-09
FGAS-167964-2025,BLDR-000180-2025,Permit,BSD-Fuel Gas Pressure,5209 BUTTER CUP DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2025-04-09
