View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-203658-2026,BL026600,Business License,BSD-Business License,3203 BROWN STATION RD COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-08-04
FIRE-SFA-203752-2026,BLDC-001424-2026,Permit,Fire - Sprinkler Flow and Alarm Testing,914 E BROADWAY COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-04
FFNL-203755-2026,BLDC-001424-2026,Permit,Fire Final (Building),914 E BROADWAY COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-04
FIRE-PIPE-203753-2026,BLDC-001424-2026,Permit,Fire - Sprinkler System Piping Inspection,914 E BROADWAY COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-04
FIRE-FA-203751-2026,BLDC-001424-2026,Permit,Fire - Alarm Acceptance Testing,914 E BROADWAY COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-04
FIRE-PIPE-203754-2026,BLDC-001424-2026,Permit,Fire - Sprinkler System Piping Inspection,914 E BROADWAY COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-04
FIRE-PIPE-203758-2026,BLDC-001619-2024,Permit,Fire - Sprinkler System Piping Inspection,300 PARK AVE COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-04
FFNL-203757-2026,BLDC-001619-2024,Permit,Fire Final (Building),300 PARK AVE COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-04
FIRE-PIPE-203759-2026,BLDC-001619-2024,Permit,Fire - Sprinkler System Piping Inspection,300 PARK AVE COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-04
BLDG-203697-2026,BLDC-001619-2024,Permit,BSD-Insulation,300 PARK AVE COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-04
SITE-203709-2026,BLDC-001625-2024,Permit,BSD-Driveway (Commercial),404 PARK AVE COLUMBIA MO 65201,"Nunley, Louis",12:39 PM,12:39 PM,,Passed Permit Inspection,0,2026-08-04
SITE-203711-2026,BLDC-001625-2024,Permit,BSD-Yard Final (Commercial),404 PARK AVE COLUMBIA MO 65201,"Nunley, Louis",12:40 PM,12:40 PM,,Passed Permit Inspection,0,2026-08-04
SITE-203710-2026,BLDC-001625-2024,Permit,BSD-Sidewalk (Commercial),404 PARK AVE COLUMBIA MO 65201,"Nunley, Louis",12:39 PM,12:39 PM,,Passed Permit Inspection,0,2026-08-04
EROS-203706-2026,BLDC-003627-2026,Permit,BSD-Erosion Control Measures,2520 RESTAURANT ROW COLUMBIA MO 65202,"Price, Bud",12:32 PM,12:32 PM,,Partial Pass Permit Inspection,0,2026-08-04
BLDG-203663-2026,BLDC-004064-2024,Permit,BSD-Framing and Rough In's,3100 KEENE CT COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Cancelled ,0,2026-08-04
PLMB-203685-2026,BLDC-006271-2025,Permit,BSD-Plumbing Groundwork,1202 MADISON ST COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-04
BLDG-203616-2026,BLDR-000309-2025,Permit,BSD-Framing and Rough In's,5729 BLACK GUM CT COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-04
ELEC-203686-2026,BLDR-000309-2025,Permit,BSD-Electrical Tag,5729 BLACK GUM CT COLUMBIA MO 65202,"Hombs, Josh",09:17 AM,09:17 AM,,Passed Permit Inspection,0,2026-08-04
BLDG-203688-2026,BLDR-001624-2026,Permit,BSD-Residential Final (Building and Trades),2809 MISTY FLOWER DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Re-inspection required,0,2026-08-04
SITE-203687-2026,BLDR-001624-2026,Permit,BSD-Yard Final (Residential),2809 MISTY FLOWER DR COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-04
EROS-203743-2026,BLDR-001909-2026,Permit,BSD-Erosion Control Measures,600 WOODLAWN AVE COL MO 65203,"Allen, Cody",02:47 PM,02:47 PM,,Cancelled ,0,2026-08-04
FGAS-203692-2026,BLDR-002048-2026,Permit,BSD-Fuel Gas Pressure,5221 STORMY DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-04
