View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-197254-2026,BL026085,Business License,BSD-Business License,2201 W NIFONG BLVD COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-14
BLBI-197196-2026,BL026218,Business License,BSD-Business License,2900 PARIS RD BLDG 2 COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-14
BLBI-197244-2026,BL026220,Business License,BSD-Business License,2024 CHERRY HILL DR STE 103 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-14
BLDG-197295-2026,BLDC-000559-2026,Permit,BSD-Final (Building and Trades),1310 VANDIVER DR COL MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-14
FFNL-197326-2026,BLDC-000901-2026,Permit,Fire Final (Building),3615 SOUTHLAND DR COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-14
FIRE-PIPE-197327-2026,BLDC-000901-2026,Permit,Fire - Sprinkler System Piping Inspection,3615 SOUTHLAND DR COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-14
BLDG-197272-2026,BLDC-000901-2026,Permit,BSD-Framing and Rough In's,3615 SOUTHLAND DR COL MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-14
FLT-197300-2026,BLDC-000901-2026,Permit,BSD-Lighting Controls Functional Testing,3615 SOUTHLAND DR COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-14
BLDG-197273-2026,BLDC-000901-2026,Permit,BSD-Final (Building and Trades),3615 SOUTHLAND DR COL MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Re-inspection required,0,2026-05-14
BLDG-197237-2026,BLDC-000935-2025,Permit,BSD-Framing and Rough In's,4170 BETHEL ST COLUMBIA MO 65203,"Hazlett, Harlan",07:58 AM,07:58 AM,,Passed Permit Inspection,0,2026-05-14
BLDG-197081-2026,BLDC-001216-2025,Permit,BSD-Final (Building and Trades),4701 BOLLARD RD COL MO 65202,"Brown, Daryl",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-14
BLDG-197179-2026,BLDC-001294-2026,Permit,BSD-Framing and Rough In's,1325 GRINDSTONE PLAZA DR STE 101 COLUMBIA MO 65201,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-14
BLDG-197233-2026,BLDC-001417-2026,Permit,BSD-Framing and Rough In's,914 E BROADWAY COL MO 65201,"Brown, Daryl",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-14
BLDG-197275-2026,BLDC-001424-2026,Permit,BSD-Framing and Rough In's,914 E BROADWAY COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Re-inspection required,0,2026-05-14
PLMB-197270-2026,BLDC-001619-2026,Permit,BSD-Plumbing Groundwork,1110 PEBBLES PKWY COLUMBIA MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Cancelled ,0,2026-05-14
PLMB-197269-2026,BLDC-001619-2026,Permit,BSD-Plumbing Sewer Lateral,1110 PEBBLES PKWY COLUMBIA MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-05-14
BLDG-197234-2026,BLDC-002269-2021,Permit,BSD-Final (Building and Trades),4525 WACO RD COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-14
BLDG-197239-2026,BLDC-003021-2026,Permit,BSD-Footing,4709 PARIS RD COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-05-14
BLDG-197080-2026,BLDC-004987-2025,Permit,BSD-Final (Building and Trades),4701 BOLLARD RD COL MO 65202,"Brown, Daryl",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-14
BLDG-197260-2026,BLDC-004987-2025,Permit,BSD-Final (Building and Trades),4701 BOLLARD RD COL MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-14
BLDG-197065-2026,BLDC-005661-2025,Permit,BSD-Footing,500 DAYSPRING DR COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-05-14
BLDG-197285-2026,BLDR-000158-2025,Permit,BSD-Residential Final (Building and Trades),909 SPYGLASS CT COLUMBIA MO 65201,"Lichty, Curtis",12:40 PM,12:40 PM,,Passed Permit Inspection,0,2026-05-14
BLDG-197297-2026,BLDR-000856-2026,Permit,BSD-Residential Final (Building and Trades),3305 MILAN DR COL MO 65202,"Tiffany, Andy",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-14
BLDG-197283-2026,BLDR-002185-2026,Permit,BSD-Residential Final (Building and Trades),1804 MCALESTER ST     COL MO 65201,"Lichty, Curtis",12:02 PM,12:02 PM,,Passed Permit Inspection,0,2026-05-14
ELEC-197288-2026,BLDR-002590-2026,Permit,BSD-Electrical Tag,3618 SOUTHLAND DR COL MO 65201,"Lichty, Curtis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-14
BLDG-197252-2026,BLDR-002824-2026,Permit,BSD-Framing and Rough In's,702 RUSSELL BLVD COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-05-14
BLDG-197175-2026,BLDR-003008-2026,Permit,BSD-Insulation,2828 EMERY DR COL MO 65202,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-14
BLDG-197259-2026,BLDR-003052-2026,Permit,BSD-Footing,5721 KESTREL LOOP COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-05-14
BLDG-197258-2026,BLDR-003053-2026,Permit,BSD-Footing,5717 KESTREL LOOP COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required,0,2026-05-14
