View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-201462-2026,BL000389,Business License,BSD-Business License,2001 CORONA RD STE 305 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-07
FIRENEWBI-201460-2026,BL000389,Business License,Fire - NEW Business Inspection,2001 CORONA RD STE 305 COLUMBIA MO 65203,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Fire - Passed Inspection,0,2026-07-07
FIRENEWBI-201531-2026,BL000760,Business License,Fire - NEW Business Inspection,4507 I-70 DRIVE SOUTHEAST COLUMBIA MO 65201,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Scheduled,0,2026-07-07
BLBI-201493-2026,BL003479,Business License,BSD-Business License,1310 VANDIVER DR   COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-07
FIRENEWBI-201513-2026,BL008994,Business License,Fire - NEW Business Inspection,5200 E MEYER INDUSTRIAL DR   COLUMBIA MO 65201,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Cancelled,0,2026-07-07
BLBI-201457-2026,BL020547,Business License,BSD-Business License,2001 CORONA RD STE 305 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-07
FIRENEWBI-201456-2026,BL020547,Business License,Fire - NEW Business Inspection,2001 CORONA RD STE 305 COLUMBIA MO 65203,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Fire - Passed Inspection,0,2026-07-07
FIRENEWBI-201268-2026,BL021298,Business License,Fire - NEW Business Inspection,1000 W NIFONG BLVD STE 6-140 COLUMBIA MO 65203,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Fire - Passed Inspection,0,2026-07-07
FIRENEWBI-201490-2026,BL021410,Business License,Fire - NEW Business Inspection,2909 FALLING LEAF LN STE B COLUMBIA MO 65201,"Gilstrap, Christopher",12:00 AM,12:00 AM,,No Fire Inspection Needed,0,2026-07-07
FIRENEWBI-201326-2026,BL026383,Business License,Fire - NEW Business Inspection,14 E BUSINESS LOOP 70   COLUMBIA MO 65203,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Scheduled,0,2026-07-07
FIRENEWBI-201510-2026,BL026435,Business License,Fire - NEW Business Inspection,1701 W ASH ST   COLUMBIA MO 65203,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Fire - Passed Inspection,0,2026-07-07
BLBI-201507-2026,BL026438,Business License,BSD-Business License,1769 W ASH ST   COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-07
FIRENEWBI-201505-2026,BL026438,Business License,Fire - NEW Business Inspection,1769 W ASH ST   COLUMBIA MO 65203,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Fire - Passed Inspection,0,2026-07-07
BLBI-201449-2026,BL026445,Business License,BSD-Business License,1705 N STADIUM BLVD STE A COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-07
BLBI-201453-2026,BL026447,Business License,BSD-Business License,6808 STEPHENS STATION RD COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-07
