View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-205028-2026,BL019522,Business License,BSD-Business License,2011 CHAPEL PLAZA CT STE 1 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-08-21
BLDG-204966-2026,BLDC-000469-2026,Permit,BSD-Final (Building and Trades),3600 W WORLEY ST COLUMBIA MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-21
BLDG-204990-2026,BLDC-001076-2026,Permit,BSD-Final (Building and Trades),5801 ARBOR POINTE PKWY COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Cancelled ,0,2026-08-21
BLDG-204965-2026,BLDC-001533-2026,Permit,BSD-Final (Building and Trades),401 CLINKSCALES RD COL MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required (with fee),0,2026-08-21
SITE-205049-2026,BLDC-001621-2024,Permit,BSD-Sidewalk (Commercial),312 PARK AVE COL MO 65201,"Nunley, Louis",10:12 AM,10:12 AM,,Passed Permit Inspection,0,2026-08-21
SITE-205050-2026,BLDC-001621-2024,Permit,BSD-Yard Final (Commercial),312 PARK AVE COL MO 65201,"Nunley, Louis",10:13 AM,10:13 AM,,Passed Permit Inspection,0,2026-08-21
SITE-205051-2026,BLDC-001623-2024,Permit,BSD-Sidewalk (Commercial),318 PARK AVE COL MO 65201,"Nunley, Louis",10:13 AM,10:13 AM,,Passed Permit Inspection,0,2026-08-21
SITE-205052-2026,BLDC-001623-2024,Permit,BSD-Yard Final (Commercial),318 PARK AVE COL MO 65201,"Nunley, Louis",10:14 AM,10:14 AM,,Passed Permit Inspection,0,2026-08-21
SITE-205053-2026,BLDC-001624-2024,Permit,BSD-Sidewalk (Commercial),400 PARK AVE COL MO 65201,"Nunley, Louis",10:14 AM,10:14 AM,,Passed Permit Inspection,0,2026-08-21
SITE-205054-2026,BLDC-001624-2024,Permit,BSD-Yard Final (Commercial),400 PARK AVE COL MO 65201,"Nunley, Louis",10:15 AM,10:15 AM,,Passed Permit Inspection,0,2026-08-21
BLDG-205077-2026,BLDC-003106-2026,Permit,BSD-Final (Building and Trades),2101 W BROADWAY STE D COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-21
BLDG-205041-2026,BLDC-003534-2026,Permit,BSD-Framing and Rough In's,912 E BROADWAY COL MO 65201,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-21
BLDG-205064-2026,BLDC-004054-2026,Permit,BSD-Final (Building and Trades),2101 CHAPEL PLAZA CT COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-21
ELEC-205013-2026,BLDC-004064-2024,Permit,BSD-Electrical Tag,3100 KEENE CT COL MO 65201,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-21
FFNL-205059-2026,BLDC-004083-2026,Permit,Fire Final (Building),911 RAIN FOREST PKWY COL MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-21
ACRT-205067-2026,BLDC-004083-2026,Permit,Accessible Route Certification,911 RAIN FOREST PKWY COL MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-21
PLMB-205042-2026,BLDC-004187-2026,Permit,BSD-Plumbing Groundwork,1907 PENNSYLVANIA DR     COL MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-21
