View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
ONSHNI-196706-2026,OHN-057859-2026,Code Case,ONS - Health Nuisance Inspection,1411 ROSEMARY LN COLUMBIA MO 65201,"Perkins, Marsha",09:53 AM,09:53 AM,,Scheduled,0,2026-06-19
ONSINSPECT-198804-2026,OLM-058604-2026,Code Case,ONS - Inspection,,"Frank, Lisa",05:21 PM,05:21 PM,,Passed Code Inspection,0,2026-06-19
ONSINSPECT-199484-2026,OLM-058677-2026,Code Case,ONS - Inspection,409 LOCH LN COLUMBIA MO 65203,"Frank, Lisa",11:41 AM,11:41 AM,,Passed Code Inspection,0,2026-06-19
ONSINSPECT-199605-2026,OLM-058941-2026,Code Case,ONS - Inspection,713 HUNT AVE DEMO   COLUMBIA MO 65203,"Fuelling, Quentin",02:06 PM,02:06 PM,,In Violation,0,2026-06-19
ONSINSPECT-199585-2026,OLM-058971-2026,Code Case,ONS - Inspection,604 HUNT AVE COLUMBIA MO 65203,"Fuelling, Quentin",12:18 PM,12:18 PM,,In Violation,0,2026-06-19
1STINSP-200097-2026,OLM-059181-2026,Code Case,ONS - Initial Inspection,1012 W WORLEY ST COLUMBIA MO 65203,"Fuelling, Quentin",01:02 PM,01:02 PM,,In Violation,0,2026-06-19
1STINSP-200099-2026,OLM-059182-2026,Code Case,ONS - Initial Inspection,2205 LAFAYETTE CT COLUMBIA MO 65202,"Fuelling, Quentin",01:07 PM,01:07 PM,,In Violation,0,2026-06-19
1STINSP-200101-2026,OLM-059183-2026,Code Case,ONS - Initial Inspection,602 N WEST BLVD COLUMBIA MO 65203,"Fuelling, Quentin",01:12 PM,01:12 PM,,In Violation,0,2026-06-19
1STINSP-200103-2026,OLM-059184-2026,Code Case,ONS - Initial Inspection,813 W WORLEY ST COLUMBIA MO 65203,"Fuelling, Quentin",01:15 PM,01:15 PM,,In Violation,0,2026-06-19
1STINSP-200104-2026,OLM-059185-2026,Code Case,ONS - Initial Inspection,817 W WORLEY ST COLUMBIA MO 65203,"Fuelling, Quentin",01:21 PM,01:21 PM,,In Violation,0,2026-06-19
RTINSP-197747-2026,ONS011514,Business License,ONS - Rental Housing,1617 TELLURIDE LN   COLUMBIA MO 65201,"Stark, James",07:00 AM,07:00 AM,,Passed-Rental,0,2026-06-19
ONSINSPECT-199596-2026,OTOE-058973-2026,Code Case,ONS - Inspection,1420 GREENSBORO DR COLUMBIA MO 65202,"Cagle, Joseph",01:25 PM,01:25 PM,,Scheduled,0,2026-06-19
ONSINSPECT-199873-2026,OTOE-059096-2026,Code Case,ONS - Inspection,212 E GREEN MEADOWS RD STE 9 COLUMBIA MO 65203,"Cagle, Joseph",10:44 AM,10:44 AM,,Scheduled,0,2026-06-19
ONSINSPECT-199870-2026,OTOE-059109-2026,Code Case,ONS - Inspection,219 E EL CORTEZ DR COLUMBIA MO 65203,"Cagle, Joseph",10:42 AM,10:42 AM,,Scheduled,0,2026-06-19
