View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
ONSINSPECT-206487-2026,OLM-061044-2026,Code Case,ONS - Inspection,4820 STAYTON FERRY LOOP COLUMBIA MO 65201,"McClintic, Jason",10:30 AM,10:30 AM,,Scheduled,0,2026-09-15
ONSINSPECT-206341-2026,OLM-061188-2026,Code Case,ONS - Inspection,312 BRYANT ST COLUMBIA MO 65203,"Fuelling, Quentin",04:37 PM,04:37 PM,,Scheduled,0,2026-09-15
ONSINSPECT-206343-2026,OLM-061256-2026,Code Case,ONS - Inspection,4300 ESTHER LEE CT   COLUMBIA MO 65203,"Fuelling, Quentin",04:41 PM,04:41 PM,,Scheduled,0,2026-09-15
ONSINSPECT-206345-2026,OLM-061261-2026,Code Case,ONS - Inspection,2110 SPECK CT COLUMBIA MO 65202,"Fuelling, Quentin",04:42 PM,04:42 PM,,Scheduled,0,2026-09-15
ONSINSPECT-206347-2026,OLM-061390-2026,Code Case,ONS - Inspection,1103 SUNSET LN COLUMBIA MO 65203,"Fuelling, Quentin",04:45 PM,04:45 PM,,Scheduled,0,2026-09-15
RTINSP-193773-2026,ONS010801,Business License,ONS - Rental Housing,601 ROLLINS ST   COLUMBIA MO 65201,"Friesz, Adam",11:00 AM,11:00 AM,,Scheduled,0,2026-09-15
RTINSP-193575-2026,ONS010977,Business License,ONS - Rental Housing,2401 PARKER ST COLUMBIA MO 65202,"Millard, Rachelle",09:00 AM,09:00 AM,,Scheduled,0,2026-09-15
RTINSP-205451-2026,ONS011570,Business License,ONS - Rental Housing,2416 SANTA ROSA CT   COLUMBIA MO 65201,"Stark, James",02:00 PM,02:00 PM,,Scheduled,0,2026-09-15
RTINSP-199621-2026,ONS011756,Business License,ONS - Rental Housing,18 ALBANY DR   COLUMBIA MO 65201,"Brockhouse, David",10:00 AM,10:00 AM,,Scheduled,0,2026-09-15
RTINSP-197143-2026,ONS011876,Business License,ONS - Rental Housing,1105 CHADWICK DR   COLUMBIA MO 65203,"Stark, James",11:00 AM,11:00 AM,,Scheduled,0,2026-09-15
RTINSP-199622-2026,ONS011878,Business License,ONS - Rental Housing,42 ALBANY DR   COLUMBIA MO 65201,"Brockhouse, David",11:15 AM,11:15 AM,,Scheduled,0,2026-09-15
RTINSP-200532-2026,ONS011976,Business License,ONS - Rental Housing,3301 KEENES EDGE DR   COLUMBIA MO 65201,"Brockhouse, David",09:00 AM,09:00 AM,,Scheduled,0,2026-09-15
RTINSP-197145-2026,ONS012057,Business License,ONS - Rental Housing,4309 FORUM BLVD   COLUMBIA MO 65203,"Stark, James",11:30 AM,11:30 AM,,Scheduled,0,2026-09-15
RTINSP-200537-2026,ONS012188,Business License,ONS - Rental Housing,22 ALBANY DR   COLUMBIA MO 65201,"Brockhouse, David",11:00 AM,11:00 AM,,Scheduled,0,2026-09-15
RTINSP-205609-2026,ONS013141,Business License,ONS - Rental Housing,3907 ARCTIC FOX DR   COLUMBIA MO 65202,"Brockhouse, David",09:00 AM,09:00 AM,,Scheduled,0,2026-09-15
RTINSP-204962-2026,ONS013903,Business License,ONS - Rental Housing,108 S GREENWOOD AVE COLUMBIA MO 65203,"Stark, James",10:00 AM,10:00 AM,,Scheduled,0,2026-09-15
RTINSP-205448-2026,ONS015422,Business License,ONS - Rental Housing,2409 SANTA ROSA CT   COLUMBIA MO 65201,"Stark, James",01:15 PM,01:15 PM,,Scheduled,0,2026-09-15
RTINSP-205859-2026,ONS026239,Business License,ONS - Rental Housing,1216 SUNSET DR COLUMBIA MO 65203,"Brockhouse, David",02:30 PM,02:30 PM,,Scheduled,0,2026-09-15
OPM-203987-2026,ORC-060516-2026,Code Case,ONS - Property Maintenance,3016 ROCK QUARRY RD COLUMBIA MO 65201,"Friesz, Adam",03:00 AM,03:00 AM,,Scheduled,0,2026-09-15
1STINSP-206377-2026,ORC-060879-2026,Code Case,ONS - Initial Inspection,600 LYON ST COLUMBIA MO 65201,"Friesz, Adam",10:00 AM,10:00 AM,,Scheduled,0,2026-09-15
ONSINSPECT-206288-2026,OTOE-061409-2026,Code Case,ONS - Inspection,401 N EIGHTH ST COLUMBIA MO 65201,"Cagle, Joseph",11:10 AM,11:10 AM,,Passed Code Inspection,0,2026-09-15
ONSINSPECT-206292-2026,OTOE-061410-2026,Code Case,ONS - Inspection,101 ALBANY DR COLUMBIA MO 65201,"Cagle, Joseph",11:19 AM,11:19 AM,,Passed Code Inspection,0,2026-09-15
ONSINSPECT-206320-2026,OTOE-061418-2026,Code Case,ONS - Inspection,3925 SNOWY OWL DR COLUMBIA MO 65202,"Cagle, Joseph",01:22 PM,01:22 PM,,Passed Code Inspection,0,2026-09-15
ONSINSPECT-206606-2026,OTOE-061491-2026,Code Case,ONS - Inspection,1402 ROSS ST COLUMBIA MO 65201,"Cagle, Joseph",11:38 AM,11:38 AM,,Scheduled,0,2026-09-15
ONSINSPECT-206608-2026,OTOE-061492-2026,Code Case,ONS - Inspection,606 S WILLIAM ST COLUMBIA MO 65201,"Cagle, Joseph",11:55 AM,11:55 AM,,Passed Code Inspection,0,2026-09-15
