View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-200972-2026,BL020386,Business License,BSD-Business License,1413 GRINDSTONE PLAZA DR STE 113 COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-02
BLBI-201060-2026,BL026230,Business License,BSD-Business License,401 W NORTH CEDAR LAKE DR COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-02
BLBI-201051-2026,BL026377,Business License,BSD-Business License,24 BROADWAY VILLAGE DR APT A COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-02
BLBI-201055-2026,BL026402,Business License,BSD-Business License,1001 N PROVIDENCE RD COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-02
BLBI-201064-2026,BL026420,Business License,BSD-Business License,14620 Old Halls Ferry RD Florissant MO 63034,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-02
FFNL-201156-2026,BLDC-000705-2026,Permit,Fire Final (Building),2909 FALLING LEAF LN STE B COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-07-02
FFNL-201071-2026,BLDC-000705-2026,Permit,Fire Final (Building),2909 FALLING LEAF LN STE B COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Partial Pass Permit Inspection,0,2026-07-02
SBC-201073-2026,BLDC-001342-2023,Permit,State Boiler Certification,5804 BULL RUN DR COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-02
BLDG-201074-2026,BLDC-001342-2023,Permit,BSD-Final (Building and Trades),5804 BULL RUN DR COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-02
ACI-200995-2026,BLDC-001424-2026,Permit,BSD-Above Ceiling Inspection,914 E BROADWAY COL MO 65201,"Brown, Daryl",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-07-02
BLDG-201072-2026,BLDC-001869-2026,Permit,BSD-Footing,3900 MOJAVE CT COL MO 65202,"Hombs, Josh",08:56 AM,08:56 AM,,Passed Permit Inspection,0,2026-07-02
