View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-199602-2026,BL026152,Business License,BSD-Business License,3516 LA MESA DR COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-06-15
BLBI-199645-2026,BL026337,Business License,BSD-Business License,4103 VAWTER SCHOOL RD STE 119 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-06-15
BLDG-199665-2026,BLDC-000251-2025,Permit,BSD-Framing and Rough In's,4806 JOHN GARRY DR COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-06-15
BLDG-199551-2026,BLDC-000935-2025,Permit,BSD-Framing and Rough In's,4170 BETHEL ST COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Cancelled ,0,2026-06-15
ACI-199384-2026,BLDC-003365-2026,Permit,BSD-Above Ceiling Inspection,1400 FORUM BLVD   COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-15
SITE-199650-2026,BLDR-000712-2026,Permit,BSD-Driveway (Residential),1020 SPYGLASS CT COLUMBIA MO 65201,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-15
BLDG-199558-2026,BLDR-001064-2026,Permit,BSD-Insulation,6409 CROOKED SWITCH CT COLUMBIA MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-15
BLDG-199557-2026,BLDR-001064-2026,Permit,BSD-Framing and Rough In's,6409 CROOKED SWITCH CT COLUMBIA MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-15
PLMB-199653-2026,BLDR-002248-2026,Permit,BSD-Plumbing Sewer Lateral,4608 COPPERSTONE CT COL MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-15
BLDG-199660-2026,BLDR-002632-2026,Permit,BSD-Framing and Rough In's,3113 POMPEY DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-06-15
ELEC-199659-2026,BLDR-002632-2026,Permit,BSD-Electrical Tag,3113 POMPEY DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-15
PLMB-199658-2026,BLDR-003558-2026,Permit,BSD-Plumbing Sewer Lateral,2513 MISTY FLOWER CT COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-15
PLMB-199657-2026,BLDR-003558-2026,Permit,BSD-Plumbing Groundwork,2513 MISTY FLOWER CT COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-15
SITE-199668-2026,BLDR-004458-2025,Permit,BSD-Sidewalk (Residential),5500 FORUM BLVD COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-15
BLDG-199642-2026,BLDR-005764-2025,Permit,BSD-Residential Final (Building and Trades),105 CRUDEN BAY DR COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Failed Re-Inspection ($75 fee),0,2026-06-15
SITE-199641-2026,BLDR-005764-2025,Permit,BSD-Yard Final (Residential),105 CRUDEN BAY DR COLUMBIA MO 65201,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-15
BLDG-199664-2026,BLDR-005860-2025,Permit,BSD-Residential Final (Building and Trades),3923 FORESTER CT   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-06-15
MECH-199591-2026,MECH-003802-2026,Permit,BSD-Mechanical Final,555 W HICKAM DR COL MO 65203,"Hombs, Josh",12:00 PM,12:00 PM,,Re-inspection required,0,2026-06-15
MECH-199526-2026,MECH-004448-2026,Permit,BSD-Mechanical Final,4302 CULPEPER DR COL MO 65202,"Brown, Daryl",12:00 PM,12:00 PM,,Passed Permit Inspection,0,2026-06-15
ONSHNI-189901-2026,OHN-054483-2025,Code Case,ONS - Health Nuisance Inspection,3700 WYATT LN COLUMBIA MO 65202,"Perkins, Marsha",12:00 AM,12:00 AM,,Scheduled,0,2026-06-15
ONSHNI-193892-2026,OHN-056944-2026,Code Case,ONS - Health Nuisance Inspection,1616 UNIVERSITY AVE COLUMBIA MO 65201,"Perkins, Marsha",03:46 PM,03:46 PM,,Scheduled,0,2026-06-15
ONSHNI-194338-2026,OHN-057079-2026,Code Case,ONS - Health Nuisance Inspection,407 S WILLIAM ST COLUMBIA MO 65201,"Perkins, Marsha",11:57 AM,11:57 AM,,Scheduled,0,2026-06-15
ONSHNI-194345-2026,OHN-057081-2026,Code Case,ONS - Health Nuisance Inspection,1407 UNIVERSITY AVE COLUMBIA MO 65201,"Perkins, Marsha",12:36 PM,12:36 PM,,Scheduled,0,2026-06-15
ONSHNI-194347-2026,OHN-057082-2026,Code Case,ONS - Health Nuisance Inspection,1405 UNIVERSITY AVE COLUMBIA MO 65201,"Perkins, Marsha",12:42 PM,12:42 PM,,Scheduled,0,2026-06-15
ONSHNI-196863-2026,OHN-057937-2026,Code Case,ONS - Health Nuisance Inspection,1608 PARIS RD COLUMBIA MO 65201,"Perkins, Marsha",01:23 PM,01:23 PM,,Scheduled,0,2026-06-15
ONSHNI-197006-2026,OHN-057994-2026,Code Case,ONS - Health Nuisance Inspection,1509 UNIVERSITY AVE COLUMBIA MO 65201,"Perkins, Marsha",12:08 PM,12:08 PM,,Scheduled,0,2026-06-15
ONSHNI-197016-2026,OHN-057997-2026,Code Case,ONS - Health Nuisance Inspection,1419 ROSS ST COLUMBIA MO 65201,"Perkins, Marsha",12:36 PM,12:36 PM,,Passed Code Inspection,0,2026-06-15
ONSHNI-197140-2026,OHN-058041-2026,Code Case,ONS - Health Nuisance Inspection,1516 ROSEMARY LN APT A COLUMBIA MO 65201,"Perkins, Marsha",10:27 AM,10:27 AM,,Scheduled,0,2026-06-15
ONSHNI-198660-2026,OHN-058632-2026,Code Case,ONS - Health Nuisance Inspection,1201 LARCH CT COLUMBIA MO 65201,"Perkins, Marsha",04:04 PM,04:04 PM,,Scheduled,0,2026-06-15
ONSINSPECT-196866-2026,OLM-057939-2026,Code Case,ONS - Inspection,,"Perkins, Marsha",01:34 PM,01:34 PM,,Passed Code Inspection,0,2026-06-15
ONSINSPECT-196868-2026,OLM-057941-2026,Code Case,ONS - Inspection,3704 WEST SUGAR TREE LN COLUMBIA MO 65201,"Perkins, Marsha",01:41 PM,01:41 PM,,Scheduled,0,2026-06-15
ONSINSPECT-196877-2026,OLM-057948-2026,Code Case,ONS - Inspection,1517 STONE ST COLUMBIA MO 65201,"Perkins, Marsha",02:02 PM,02:02 PM,,Passed Code Inspection,0,2026-06-15
ONSINSPECT-198378-2026,OLM-058064-2026,Code Case,ONS - Inspection,607 NEBRASKA AVE COLUMBIA MO 65201,"Perkins, Marsha",12:00 PM,12:00 PM,,Scheduled,0,2026-06-15
ONSINSPECT-198350-2026,OLM-058066-2026,Code Case,ONS - Inspection,509 NEBRASKA AVE COLUMBIA MO 65201,"Perkins, Marsha",11:10 AM,11:10 AM,,Scheduled,0,2026-06-15
ONSINSPECT-198319-2026,OLM-058479-2026,Code Case,ONS - Inspection,1508 N PROVIDENCE RD COLUMBIA MO 65203,"Perkins, Marsha",08:59 AM,08:59 AM,,Scheduled,0,2026-06-15
