View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-199602-2026,BL026152,Business License,BSD-Business License,3516 LA MESA DR COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-06-14
BLBI-199645-2026,BL026337,Business License,BSD-Business License,4103 VAWTER SCHOOL RD STE 119 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-06-14
BLDG-199665-2026,BLDC-000251-2025,Permit,BSD-Framing and Rough In's,4806 JOHN GARRY DR COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-06-14
BLDG-199551-2026,BLDC-000935-2025,Permit,BSD-Framing and Rough In's,4170 BETHEL ST COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Cancelled ,0,2026-06-14
ACI-199384-2026,BLDC-003365-2026,Permit,BSD-Above Ceiling Inspection,1400 FORUM BLVD   COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-14
SITE-199650-2026,BLDR-000712-2026,Permit,BSD-Driveway (Residential),1020 SPYGLASS CT COLUMBIA MO 65201,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-14
BLDG-199558-2026,BLDR-001064-2026,Permit,BSD-Insulation,6409 CROOKED SWITCH CT COLUMBIA MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-14
BLDG-199557-2026,BLDR-001064-2026,Permit,BSD-Framing and Rough In's,6409 CROOKED SWITCH CT COLUMBIA MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-14
PLMB-199653-2026,BLDR-002248-2026,Permit,BSD-Plumbing Sewer Lateral,4608 COPPERSTONE CT COL MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-14
BLDG-199660-2026,BLDR-002632-2026,Permit,BSD-Framing and Rough In's,3113 POMPEY DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-06-14
ELEC-199659-2026,BLDR-002632-2026,Permit,BSD-Electrical Tag,3113 POMPEY DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-14
PLMB-199658-2026,BLDR-003558-2026,Permit,BSD-Plumbing Sewer Lateral,2513 MISTY FLOWER CT COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-14
PLMB-199657-2026,BLDR-003558-2026,Permit,BSD-Plumbing Groundwork,2513 MISTY FLOWER CT COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-14
