View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
FIRENEWBI-194071-2026,BL025969,Business License,Fire - NEW Business Inspection,4101 W VAWTER SCHOOL RD   COLUMBIA MO 65203,"Wright, Colin",12:00 AM,12:00 AM,,Scheduled,0,2026-04-14
FIRENEWBI-194840-2026,BL026036,Business License,Fire - NEW Business Inspection,508 E LIBERTY LN  C ASHLAND MO 65010,"Gilstrap, Christopher",09:30 AM,09:30 AM,,Fire - Passed Inspection,0,2026-04-14
BLBI-194946-2026,BL026051,Business License,BSD-Business License,1024 ARTIST ALY COLUMBIA MO 65201,"Hazlett, Harlan",12:00 AM,12:00 AM,,Passed Business License,0,2026-04-14
BLBI-194874-2026,BL026052,Business License,BSD-Business License,5212 N OAKLAND GRAVEL RD  STAND COLUMBIA MO 65202,"Hazlett, Harlan",12:00 AM,12:00 AM,,Passed Business License,0,2026-04-14
BLBI-194922-2026,BL026056,Business License,BSD-Business License,3210 VANDIVER DR COLUMBIA MO 65202,"Hazlett, Harlan",12:00 AM,12:00 AM,,Passed Business License,0,2026-04-14
BLDG-194882-2026,BLDC-000935-2025,Permit,BSD-Framing and Rough In's,4170 BETHEL ST COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required,0,2026-04-14
BLDG-194923-2026,BLDC-002137-2026,Permit,BSD-Framing and Rough In's,303 N STADIUM BLVD STE 103 COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
PLMB-194801-2026,BLDC-005045-2025,Permit,BSD-Plumbing Groundwork,3211 CLARK LN COL MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-14
BWC-194311-2026,BLDC-005556-2025,Permit,Building Water Connection (573) 817-6464,204 S NINTH ST COL MO 65201,"Lewis, Tyler",08:00 AM,08:00 AM,,Failed: Permit Suspended,0,2026-04-14
ACI-194938-2026,BLDC-006405-2025,Permit,BSD-Above Ceiling Inspection,725 SCOTT BLVD STE 103 COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
ELEC-194851-2026,BLDR-000128-2026,Permit,BSD-Electrical Tag,1120 WESTWINDS DR COLUMBIA MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-14
SITE-194982-2026,BLDR-000179-2026,Permit,BSD-Sidewalk (Residential),5213 STORMY DR COLUMBIA MO 65203,"Nunley, Louis",02:55 PM,02:55 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194983-2026,BLDR-000179-2026,Permit,BSD-Driveway (Residential),5213 STORMY DR COLUMBIA MO 65203,"Nunley, Louis",02:55 PM,02:55 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194939-2026,BLDR-000179-2026,Permit,BSD-Yard Final (Residential),5213 STORMY DR COLUMBIA MO 65203,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
ELEC-194853-2026,BLDR-000196-2026,Permit,BSD-Electrical Tag,1116 WESTWINDS DR  ADU COLUMBIA MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-04-14
SITE-194924-2026,BLDR-000225-2026,Permit,BSD-Driveway (Residential),4608 CHAMBERS BAY DR COL MO 65201,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194940-2026,BLDR-000272-2026,Permit,BSD-Yard Final (Residential),5301 STORMY DR COLUMBIA MO 65203,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194981-2026,BLDR-000272-2026,Permit,BSD-Sidewalk (Residential),5301 STORMY DR COLUMBIA MO 65203,"Nunley, Louis",02:54 PM,02:54 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194985-2026,BLDR-000273-2026,Permit,BSD-Sidewalk (Residential),5305 STORMY DR COLUMBIA MO 65203,"Nunley, Louis",02:54 PM,02:54 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194941-2026,BLDR-000273-2026,Permit,BSD-Yard Final (Residential),5305 STORMY DR COLUMBIA MO 65203,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
BLDG-194833-2026,BLDR-000889-2026,Permit,BSD-Residential Final (Building and Trades),1013 RANGE LINE ST COL MO 65201,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required,0,2026-04-14
BLDG-194869-2026,BLDR-001203-2026,Permit,BSD-Deck Piers,3209 WESTCREEK CIR COL MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-14
BLDG-194865-2026,BLDR-001358-2025,Permit,BSD-Framing and Rough In's,506 HIGH ST APT 102 COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-04-14
ELEC-194866-2026,BLDR-001358-2025,Permit,BSD-Electrical Tag,506 HIGH ST APT 102 COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Cancelled ,0,2026-04-14
BLDG-194867-2026,BLDR-001361-2025,Permit,BSD-Framing and Rough In's,506 HIGH ST APT 100 COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-04-14
ELEC-194868-2026,BLDR-001361-2025,Permit,BSD-Electrical Tag,506 HIGH ST APT 100 COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Cancelled ,0,2026-04-14
BLDG-194894-2026,BLDR-001419-2026,Permit,BSD-Insulation,2113 OAK CLIFF DR COL MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-14
SITE-194885-2026,BLDR-001432-2026,Permit,BSD-Yard Final (Residential),5324 SPARTINA LN COLUMBIA MO 65203,"Nunley, Louis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-04-14
SITE-194886-2026,BLDR-001434-2026,Permit,BSD-Yard Final (Residential),5321 MAKANA LN COLUMBIA MO 65203,"Nunley, Louis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-14
PLMB-194925-2026,BLDR-002288-2026,Permit,BSD-Plumbing Sewer Lateral,5112 WHISPER DR COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
ELEC-194917-2026,BLDR-002531-2024,Permit,BSD-Electrical Tag,2101 BLUFF CREEK DR COLUMBIA MO 65201,"Lichty, Curtis",01:00 PM,01:00 PM,,Re-inspection required,0,2026-04-14
BLDG-194850-2026,BLDR-002632-2026,Permit,BSD-Footing,3113 POMPEY DR COL MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-14
BLDG-194852-2026,BLDR-002633-2026,Permit,BSD-Footing,3117 POMPEY DR COL MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-14
PLMB-194929-2026,BLDR-002722-2026,Permit,BSD-Plumbing Groundwork,3501 JAGGED LEAF DR COLUMBIA MO 65202,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
BLDG-194813-2026,BLDR-002780-2026,Permit,BSD-Framing and Rough In's,5905 ABBEY LN COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Cancelled ,0,2026-04-14
BLDG-194814-2026,BLDR-002780-2026,Permit,BSD-Residential Final (Building and Trades),5905 ABBEY LN COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Re-inspection required,0,2026-04-14
PLMB-194948-2026,BLDR-002974-2026,Permit,BSD-Plumbing Groundwork,2832 EMERY DR COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
PLMB-194947-2026,BLDR-002974-2026,Permit,BSD-Plumbing Sewer Lateral,2832 EMERY DR COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
BLDG-194907-2026,BLDR-003019-2026,Permit,BSD-Footing,5724 KESTREL LOOP COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194933-2026,BLDR-003113-2024,Permit,BSD-Yard Final (Residential),5416 HEATH CT COL MO 65203,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
BLDG-194864-2026,BLDR-003184-2026,Permit,BSD-Footing,2820 EASLEY CABIN CIR COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-14
PLMB-194931-2026,BLDR-004402-2024,Permit,BSD-Plumbing Sewer Lateral,406 HIRTH AVE COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-04-14
BLDG-194879-2026,BLDR-004533-2024,Permit,BSD-Residential Final (Building and Trades),4510 STONINGTON CT COL MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-04-14
BLDG-194991-2026,BLDR-004533-2024,Permit,BSD-Residential Final (Building and Trades),4510 STONINGTON CT COL MO 65203,"Lichty, Curtis",03:18 PM,03:18 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194949-2026,BLDR-005774-2025,Permit,BSD-Driveway (Residential),824 N GARTH AVE  ADU COLUMBIA MO 65203,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-14
SITE-194934-2026,BLDR-006029-2025,Permit,BSD-Sidewalk (Residential),4921 SILVER MILL DR   COLUMBIA MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Re-inspection required,0,2026-04-14
