View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-204479-2026,BL026590,Business License,BSD-Business License,14 E BUSINESS LOOP 70   COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-08-14
FGAS-204491-2026,BLDC-000469-2026,Permit,BSD-Fuel Gas Tag,3600 W WORLEY ST COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-14
FGAS-204490-2026,BLDC-000469-2026,Permit,BSD-Fuel Gas Pressure,3600 W WORLEY ST COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-14
BLDG-204506-2026,BLDC-001621-2024,Permit,BSD-Final (Building and Trades),312 PARK AVE COL MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-08-14
FSIR-204502-2026,BLDC-001621-2024,Permit,Final Special Inspection Report,312 PARK AVE COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-14
FIRE-PIPE-204533-2026,BLDC-003462-2026,Permit,Fire - Sprinkler System Piping Inspection,1201 AMERICAN PKWY COL MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-14
BLDG-204529-2026,BLDC-003462-2026,Permit,BSD-Final (Building and Trades),1201 AMERICAN PKWY COL MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Scheduled (permit),0,2026-08-14
FFNL-204532-2026,BLDC-003462-2026,Permit,Fire Final (Building),1201 AMERICAN PKWY COL MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Re-inspection required,0,2026-08-14
BLDG-204543-2026,BLDC-003462-2026,Permit,BSD-Framing and Rough In's,1201 AMERICAN PKWY COL MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-14
FIRE-PIPE-204576-2026,BLDC-003843-2026,Permit,Fire - Sprinkler System Piping Inspection,2901 W BROADWAY STE 105 COL MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-14
FFNL-204575-2026,BLDC-003843-2026,Permit,Fire Final (Building),2901 W BROADWAY STE 105 COL MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-14
BLDG-204519-2026,BLDC-005033-2025,Permit,BSD-Insulation,1300 FELLOWS PL COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-14
EROS-204562-2026,BLDR-000054-2024,Permit,BSD-Erosion Control Measures,6403 CROOKED SWITCH CT COL MO 65201,"Nunley, Louis",01:57 PM,01:57 PM,,Requested,0,2026-08-14
SITE-204544-2026,BLDR-001092-2026,Permit,BSD-Yard Final (Residential),5209 STORMY DR COLUMBIA MO 65203,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-14
SITE-204428-2026,BLDR-001116-2026,Permit,BSD-Driveway (Residential),6513 BURNHILL DR COL MO 65201,"Price, Bud",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-14
SITE-204427-2026,BLDR-001116-2026,Permit,BSD-Sidewalk (Residential),6513 BURNHILL DR COL MO 65201,"Price, Bud",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-14
BLDG-204434-2026,BLDR-001160-2026,Permit,BSD-Residential Final (Building and Trades),1500 WILSON AVE COLUMBIA MO 65201,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-14
SITE-204547-2026,BLDR-001815-2026,Permit,BSD-Yard Final (Residential),3116 POMPEY DR COLUMBIA MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-14
FGAS-204523-2026,BLDR-003146-2026,Permit,BSD-Fuel Gas Pressure,5025 WHISPER DR COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-14
FGAS-204525-2026,BLDR-003146-2026,Permit,BSD-Fuel Gas Tag,5025 WHISPER DR COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-14
ELEC-204524-2026,BLDR-003146-2026,Permit,BSD-Electrical Tag,5025 WHISPER DR COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-14
BLDG-204522-2026,BLDR-003146-2026,Permit,BSD-Framing and Rough In's,5025 WHISPER DR COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-08-14
BLDG-204505-2026,BLDR-003476-2026,Permit,BSD-Framing and Rough In's,3304 WOODDALE LN COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-14
ELEC-204393-2026,BLDR-003825-2026,Permit,BSD-Electrical Tag,6509 WALSBY DR COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-14
FGAS-204394-2026,BLDR-003825-2026,Permit,BSD-Fuel Gas Pressure,6509 WALSBY DR COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-14
