View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
FIRENEWBI-194392-2026,BL021115,Business License,Fire - NEW Business Inspection,3201 S PROVIDENCE RD STE 202 COLUMBIA MO 65203,"Gilstrap, Christopher",09:00 AM,09:00 AM,,No Fire Inspection Needed,0,2026-05-04
BLBI-196251-2026,BL023771,Business License,BSD-Business License,1414 RANGE LINE ST STE E COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-04
FIRENEWBI-196163-2026,BL026113,Business License,Fire - NEW Business Inspection,2901 W BROADWAY STE 103 COLUMBIA MO 65203,"Wright, Colin",12:00 AM,12:00 AM,,Scheduled,0,2026-05-04
FIRENEWBI-196164-2026,BL026114,Business License,Fire - NEW Business Inspection,100 BRICKTON RD STE 108 COLUMBIA MO 65201,"Wright, Colin",12:00 AM,12:00 AM,,Scheduled,0,2026-05-04
BLBI-196145-2026,BL026148,Business License,BSD-Business License,5814 ABBINGTON CT COL MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-04
BLBI-196271-2026,BL026155,Business License,BSD-Business License,210 ST JAMES ST STE D COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-04
BLDG-196323-2026,BLDC-001216-2025,Permit,BSD-Final (Building and Trades),4701 BOLLARD RD COL MO 65202,"Brown, Daryl",12:01 PM,12:01 PM,,Cancelled ,0,2026-05-04
BLDG-196151-2026,BLDC-001631-2024,Permit,BSD-Insulation,512 PARK AVE COL MO 65201,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-04
BLDG-196159-2026,BLDC-004766-2025,Permit,BSD-Footing,2529 N STADIUM BLVD COL MO 65202,"Hazlett, Harlan",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-05-04
BLDG-196322-2026,BLDC-004987-2025,Permit,BSD-Final (Building and Trades),4701 BOLLARD RD COL MO 65202,"Brown, Daryl",12:00 PM,12:00 PM,,Cancelled ,0,2026-05-04
BLDG-196247-2026,BLDC-005646-2025,Permit,BSD-Framing and Rough In's,3711 DISCOVERY PKWY SHED COLUMBIA MO 65201,"Hazlett, Harlan",07:45 AM,07:45 AM,,Passed Permit Inspection,0,2026-05-04
FSIR-196246-2026,BLDC-005646-2025,Permit,Final Special Inspection Report,3711 DISCOVERY PKWY SHED COLUMBIA MO 65201,"Hazlett, Harlan",07:46 AM,07:46 AM,,Passed Permit Inspection,0,2026-05-04
BLDG-196345-2026,BLDC-005777-2025,Permit,BSD-Final (Building and Trades),3211 CLARK LN COL MO 65202,"Hazlett, Harlan",03:14 PM,03:14 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196319-2026,BLDR-000268-2026,Permit,BSD-Driveway (Residential),817 ANGELS REST WAY COL MO 65203,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196318-2026,BLDR-000268-2026,Permit,BSD-Sidewalk (Residential),817 ANGELS REST WAY COL MO 65203,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196330-2026,BLDR-000589-2026,Permit,BSD-Yard Final (Residential),908 N SEVENTH ST COLUMBIA MO 65201,"Nunley, Louis",01:05 PM,01:05 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196300-2026,BLDR-001817-2026,Permit,BSD-Driveway (Residential),3201 POMPEY DR COL MO 65202,"Price, Bud",11:23 AM,11:23 AM,,Passed Permit Inspection,0,2026-05-04
BLDG-196263-2026,BLDR-002058-2026,Permit,BSD-Insulation,4010 COPPERSTONE CREEK DR COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
BLDG-196317-2026,BLDR-002090-2026,Permit,BSD-Framing and Rough In's,5216 STORMY DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Re-inspection required,0,2026-05-04
ELEC-196315-2026,BLDR-002090-2026,Permit,BSD-Electrical Tag,5216 STORMY DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
FGAS-196316-2026,BLDR-002090-2026,Permit,BSD-Fuel Gas Tag,5216 STORMY DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
FGAS-196314-2026,BLDR-002090-2026,Permit,BSD-Fuel Gas Pressure,5216 STORMY DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
PLMB-196327-2026,BLDR-002191-2026,Permit,BSD-Plumbing Sewer Tap,700 MIKEL ST COLUMBIA MO 65203,"Kenney, Douglas",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-04
BLDG-196154-2026,BLDR-002198-2026,Permit,BSD-Framing and Rough In's,2660 FRAZIER LOOP   COLUMBIA MO 65202,"Brown, Daryl",08:00 AM,08:00 AM,,Re-inspection required (with fee),0,2026-05-04
BLDG-196245-2026,BLDR-002213-2025,Permit,BSD-Residential Final (Building and Trades),4605 COPPERSTONE CT   COLUMBIA MO 65203,"Tiffany, Andy",09:00 AM,09:00 AM,,Passed Permit Inspection,0,2026-05-04
PLMB-196328-2026,BLDR-002277-2026,Permit,BSD-Plumbing Sewer Tap,702 MIKEL ST COLUMBIA MO 65203,"Kenney, Douglas",12:44 PM,12:44 PM,,Passed Permit Inspection,0,2026-05-04
BLDG-196188-2026,BLDR-002288-2026,Permit,BSD-Framing and Rough In's,5112 WHISPER DR COLUMBIA MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-04
ELEC-196187-2026,BLDR-002288-2026,Permit,BSD-Electrical Tag,5112 WHISPER DR COLUMBIA MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-04
FGAS-196189-2026,BLDR-002288-2026,Permit,BSD-Fuel Gas Pressure,5112 WHISPER DR COLUMBIA MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-04
FGAS-196190-2026,BLDR-002288-2026,Permit,BSD-Fuel Gas Tag,5112 WHISPER DR COLUMBIA MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-04
BLDG-196258-2026,BLDR-002564-2026,Permit,BSD-Framing and Rough In's,5213 WHISPER DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
BLDG-196257-2026,BLDR-002564-2026,Permit,BSD-Insulation,5213 WHISPER DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
ELEC-196259-2026,BLDR-002564-2026,Permit,BSD-Electrical Tag,5213 WHISPER DR COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Cancelled ,0,2026-05-04
PLMB-196278-2026,BLDR-002632-2026,Permit,BSD-Plumbing Groundwork,3113 POMPEY DR COL MO 65202,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
PLMB-196277-2026,BLDR-002632-2026,Permit,BSD-Plumbing Sewer Lateral,3113 POMPEY DR COL MO 65202,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196310-2026,BLDR-002711-2025,Permit,BSD-Sidewalk (Residential),4121 UMBRIA CT COL MO 65203,"Nunley, Louis",11:44 AM,11:44 AM,,Passed Permit Inspection,0,2026-05-04
SITE-196311-2026,BLDR-002714-2025,Permit,BSD-Sidewalk (Residential),4117 UMBRIA CT COL MO 65203,"Nunley, Louis",11:44 AM,11:44 AM,,Passed Permit Inspection,0,2026-05-04
PLMB-196176-2026,BLDR-002854-2026,Permit,BSD-Plumbing Groundwork,3112 POMPEY DR COL MO 65202,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
PLMB-196175-2026,BLDR-002854-2026,Permit,BSD-Plumbing Sewer Lateral,3112 POMPEY DR COL MO 65202,"Brown, Daryl",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-05-04
PLMB-196177-2026,BLDR-002855-2026,Permit,BSD-Plumbing Sewer Lateral,3108 POMPEY DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
PLMB-196178-2026,BLDR-002855-2026,Permit,BSD-Plumbing Groundwork,3108 POMPEY DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
BLDG-196244-2026,BLDR-003117-2026,Permit,BSD-Insulation,601 EASTLAKE DR COL MO 65203,"Tiffany, Andy",09:00 AM,09:00 AM,,Partial Pass Permit Inspection,0,2026-05-04
PLMB-196269-2026,BLDR-003360-2026,Permit,BSD-Plumbing Groundwork,2749 EASLEY CABIN CIR COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
PLMB-196270-2026,BLDR-003360-2026,Permit,BSD-Plumbing Sewer Lateral,2749 EASLEY CABIN CIR COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
BLDG-196112-2026,BLDR-003390-2026,Permit,BSD-Footing,5705 KESTREL LOOP COLUMBIA MO 65202,"Brown, Daryl",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-04
BLDG-196256-2026,BLDR-003539-2026,Permit,BSD-Footing,6108 PORTRUSH DR COLUMBIA MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196139-2026,BLDR-003945-2025,Permit,BSD-Yard Final (Residential),3716 ROXIE CT COL MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196140-2026,BLDR-003946-2025,Permit,BSD-Yard Final (Residential),1604 BOSCO BEL DR COL MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196141-2026,BLDR-003947-2025,Permit,BSD-Yard Final (Residential),1600 BOSCO BEL DR COL MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
BLDG-196142-2026,BLDR-003947-2025,Permit,BSD-Residential Final (Building and Trades),1600 BOSCO BEL DR COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-04
SITE-196301-2026,BLDR-005121-2025,Permit,BSD-Yard Final (Residential),3200 RAVELLO DR COL MO 65202,"Price, Bud",11:27 AM,11:27 AM,,Passed Permit Inspection,0,2026-05-04
