View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
ACI-205953-2026,BLDC-002177-2026,Permit,BSD-Above Ceiling Inspection,6033 N MASONIC DR COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-03
ARBR-206046-2026,BLDC-002418-2024,Permit,BSD-Landscaping,1201 INTERNATIONAL DR COL MO 65202,"Fritz, Steven",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-03
SITE-206045-2026,BLDC-002418-2024,Permit,BSD-Yard Final (Commercial),1201 INTERNATIONAL DR COL MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-03
FLT-206092-2026,BLDC-002707-2026,Permit,BSD-Lighting Controls Functional Testing,210 ST JAMES ST STE D COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-09-03
EROS-206056-2026,BLDC-003059-2026,Permit,BSD-Erosion Control Measures,1205 GRINDSTONE PKWY STE 101 COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Scheduled (permit),0,2026-09-03
BLDG-206080-2026,BLDC-004715-2026,Permit,BSD-Footing,1410 FORUM BLVD COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-09-03
BLDG-206052-2026,BLDR-000714-2026,Permit,BSD-Residential Final (Building and Trades),6008 KESTREL LOOP COLUMBIA MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-03
SITE-206053-2026,BLDR-000714-2026,Permit,BSD-Yard Final (Residential),6008 KESTREL LOOP COLUMBIA MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-03
SITE-206048-2026,BLDR-000996-2026,Permit,BSD-Yard Final (Residential),5708 KESTREL LOOP COLUMBIA MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Re-inspection required,0,2026-09-03
BLDG-206049-2026,BLDR-000996-2026,Permit,BSD-Residential Final (Building and Trades),5708 KESTREL LOOP COLUMBIA MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-03
SITE-206034-2026,BLDR-001182-2026,Permit,BSD-Driveway (Residential),4105 UMBRIA CT COL MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-03
SITE-206033-2026,BLDR-001182-2026,Permit,BSD-Sidewalk (Residential),4105 UMBRIA CT COL MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-03
SITE-206035-2026,BLDR-001183-2026,Permit,BSD-Sidewalk (Residential),4101 UMBRIA CT COL MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-03
