View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
ELEC-195089-2026,BLDC-000193-2026,Permit,BSD-Electrical Tag,2800 PARIS RD   COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-20
BLDG-195216-2026,BLDC-000935-2025,Permit,BSD-Insulation,4170 BETHEL ST COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-04-20
ELEC-195223-2026,BLDC-001855-2024,Permit,BSD-Electrical Tag,612 PARK AVE COL MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
BLDG-195219-2026,BLDC-001955-2026,Permit,BSD-Framing and Rough In's,3700 MONTEREY DR STE A COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-04-20
FGAS-195235-2026,BLDC-002676-2026,Permit,BSD-Fuel Gas Tag,2601 BERNADETTE PL COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
FGAS-195234-2026,BLDC-002676-2026,Permit,BSD-Fuel Gas Pressure,2601 BERNADETTE PL COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
SITE-195209-2026,BLDR-000711-2026,Permit,BSD-Yard Final (Residential),6104 KESTREL LOOP COLUMBIA MO 65202,"Nunley, Louis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
BLDG-195208-2026,BLDR-000711-2026,Permit,BSD-Residential Final (Building and Trades),6104 KESTREL LOOP COLUMBIA MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
BLDG-195270-2026,BLDR-000711-2026,Permit,BSD-Insulation,6104 KESTREL LOOP COLUMBIA MO 65202,"Hazlett, Harlan",02:25 PM,02:25 PM,,Passed Permit Inspection,0,2026-04-20
BLDG-195211-2026,BLDR-000996-2026,Permit,BSD-Framing and Rough In's,5708 KESTREL LOOP COLUMBIA MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
ELEC-195228-2026,BLDR-000996-2026,Permit,BSD-Electrical Tag,5708 KESTREL LOOP COLUMBIA MO 65202,"Hombs, Josh",10:21 AM,10:21 AM,,Re-inspection required,0,2026-04-20
FGAS-195195-2026,BLDR-001116-2026,Permit,BSD-Fuel Gas Pressure,6513 BURNHILL DR COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-20
BLDG-195194-2026,BLDR-001116-2026,Permit,BSD-Framing and Rough In's,6513 BURNHILL DR COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Re-inspection required,0,2026-04-20
ELEC-195196-2026,BLDR-001116-2026,Permit,BSD-Electrical Tag,6513 BURNHILL DR COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-20
FGAS-195197-2026,BLDR-001116-2026,Permit,BSD-Fuel Gas Tag,6513 BURNHILL DR COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-20
PLMB-195244-2026,BLDR-002799-2026,Permit,BSD-Plumbing Groundwork,2719 EASLEY CABIN CIR COLUMBIA MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
PLMB-195245-2026,BLDR-002799-2026,Permit,BSD-Plumbing Sewer Lateral,2719 EASLEY CABIN CIR COLUMBIA MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
PLMB-195226-2026,BLDR-002904-2026,Permit,BSD-Plumbing Sewer Lateral,4745 STAYTON FERRY LOOP COL MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
PLMB-195227-2026,BLDR-002904-2026,Permit,BSD-Plumbing Groundwork,4745 STAYTON FERRY LOOP COL MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
BLDG-195205-2026,BLDR-003824-2025,Permit,BSD-Residential Final (Building and Trades),116 W SEXTON RD COL MO 65203,"Hombs, Josh",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-04-20
BLDG-195251-2026,BLDR-005774-2025,Permit,BSD-Framing and Rough In's,824 N GARTH AVE  ADU COLUMBIA MO 65203,"Hazlett, Harlan",12:43 PM,12:43 PM,,Re-inspection required,0,2026-04-20
BLDG-195222-2026,BLDR-005774-2025,Permit,BSD-Insulation,824 N GARTH AVE  ADU COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-04-20
FGAS-195237-2026,BLDR-006147-2025,Permit,BSD-Fuel Gas Pressure,5010 CITY HILL CT COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
FGAS-195236-2026,BLDR-006147-2025,Permit,BSD-Fuel Gas Tag,5010 CITY HILL CT COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
BLDG-195238-2026,BLDR-006147-2025,Permit,BSD-Framing and Rough In's,5010 CITY HILL CT COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-04-20
SITE-195201-2026,BLDR-006347-2025,Permit,BSD-Yard Final (Residential),4300 STONE MOUNTAIN PKWY COLUMBIA MO 65201,"Nunley, Louis",08:00 AM,08:00 AM,,Scheduled (permit),0,2026-04-20
DECK-195193-2026,DECK-001560-2026,Permit,BSD-Deck Only Final,7002 MONTAUK CT COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-20
DECK-195224-2026,DECK-003353-2026,Permit,BSD-Deck Only Final,4011 SPRING CRESS DR   COLUMBIA MO 65202,"Brown, Daryl",01:00 PM,01:00 PM,,Re-inspection required,0,2026-04-20
DEMO-195203-2026,DEMO-003459-2025,Permit,BSD-Sewer Cap,602 N EIGHTH ST COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-04-20
ELEC-195206-2026,ELEC-003478-2026,Permit,BSD-Electrical Tag,304 BINGHAM RD COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
MECH-195043-2026,MECH-002641-2026,Permit,BSD-Mechanical Final,511 DONNELLY AVE COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-20
MECH-195212-2026,MECH-003463-2026,Permit,BSD-Mechanical Final,2415 CARTER LN STE 2 COL MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
MECH-195215-2026,MECH-003506-2026,Permit,BSD-Mechanical Final,4112 GALLANT FOX DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-20
ONSHNI-193844-2026,OHN-053967-2025,Code Case,ONS - Health Nuisance Inspection,1108 COATS ST COLUMBIA MO 65201,"Perkins, Marsha",12:24 PM,12:24 PM,,Scheduled,0,2026-04-20
ONSHNI-193132-2026,OHN-054483-2025,Code Case,ONS - Health Nuisance Inspection,3700 WYATT LN COLUMBIA MO 65202,"Perkins, Marsha",08:08 AM,08:08 AM,,Scheduled (permit),0,2026-04-20
ONSHNI-189901-2026,OHN-054483-2025,Code Case,ONS - Health Nuisance Inspection,3700 WYATT LN COLUMBIA MO 65202,"Perkins, Marsha",12:00 AM,12:00 AM,,Scheduled,0,2026-04-20
ONSHNI-194763-2026,OHN-054623-2025,Code Case,ONS - Health Nuisance Inspection,4707 PIERRE ST COLUMBIA MO 65202,"Perkins, Marsha",12:38 PM,12:38 PM,,Passed Code Inspection,0,2026-04-20
ONSHNI-189305-2026,OHN-055518-2026,Code Case,ONS - Health Nuisance Inspection,1501 WINDSOR ST COLUMBIA MO 65201,"Perkins, Marsha",02:07 PM,02:07 PM,,Scheduled,0,2026-04-20
ONSHNI-192499-2026,OHN-056515-2026,Code Case,ONS - Health Nuisance Inspection,1413 STONE ST COLUMBIA MO 65201,"Perkins, Marsha",11:19 AM,11:19 AM,,Scheduled,0,2026-04-20
ONSHNI-194280-2026,OHN-056616-2026,Code Case,ONS - Health Nuisance Inspection,5720 S RTE K   COLUMBIA MO 65203,"Perkins, Marsha",08:45 AM,08:45 AM,,Scheduled,0,2026-04-20
ONSHNI-194092-2026,OHN-056693-2026,Code Case,ONS - Health Nuisance Inspection,2201 BALLENGER LN COLUMBIA MO 65202,"McClintic, Jason",10:20 AM,10:20 AM,,Passed Code Inspection,0,2026-04-20
ONSHNI-193320-2026,OHN-056782-2026,Code Case,ONS - Health Nuisance Inspection,1413 WILSON AVE COLUMBIA MO 65201,"Perkins, Marsha",07:34 AM,07:34 AM,,Scheduled,0,2026-04-20
ONSHNI-193766-2026,OHN-056881-2026,Code Case,ONS - Health Nuisance Inspection,211 N WILLIAM ST COLUMBIA MO 65201,"Perkins, Marsha",02:15 PM,02:15 PM,,Scheduled,0,2026-04-20
ONSHNI-193734-2026,OHN-056883-2026,Code Case,ONS - Health Nuisance Inspection,3606 SOUTHLAND DR COLUMBIA MO 65201,"Perkins, Marsha",11:03 AM,11:03 AM,,Scheduled,0,2026-04-20
