View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
ONSHNI-204105-2026,OHN-060577-2026,Code Case,ONS - Health Nuisance Inspection,1608 UNIVERSITY AVE COLUMBIA MO 65201,"Perkins, Marsha",09:57 AM,09:57 AM,,Scheduled,0,2026-09-08
1STINSP-204767-2026,OHN-060835-2026,Code Case,ONS - Initial Inspection,609 HEIDMAN RD COLUMBIA MO 65203,"Frank, Lisa",01:20 PM,01:20 PM,,Scheduled,0,2026-09-08
ONSHNI-205523-2026,OHN-061110-2026,Code Case,ONS - Health Nuisance Inspection,606 S WILLIAM ST COLUMBIA MO 65201,"Perkins, Marsha",02:41 PM,02:41 PM,,Scheduled,0,2026-09-08
ONSHNI-205528-2026,OHN-061113-2026,Code Case,ONS - Health Nuisance Inspection,1314 UNIVERSITY AVE COLUMBIA MO 65201,"Perkins, Marsha",02:47 PM,02:47 PM,,Scheduled,0,2026-09-08
ONSHNI-205533-2026,OHN-061117-2026,Code Case,ONS - Health Nuisance Inspection,1413 BOUCHELLE AVE   COLUMBIA MO 65201,"Perkins, Marsha",03:14 PM,03:14 PM,,Scheduled,0,2026-09-08
ONSINSPECT-205883-2026,OLM-061177-2026,Code Case,ONS - Inspection,208 W LESLIE LN COLUMBIA MO 65202,"Fuelling, Quentin",05:10 PM,05:10 PM,,Scheduled,0,2026-09-08
ONSINSPECT-205885-2026,OLM-061270-2026,Code Case,ONS - Inspection,2110 SPECK CT COLUMBIA MO 65202,"Frank, Lisa",05:11 PM,05:11 PM,,Scheduled,0,2026-09-08
RTINSP-201899-2026,ONS008949,Business License,ONS - Rental Housing,2211 SHEPARD BLVD   COLUMBIA MO 65201,"Friesz, Adam",03:00 AM,03:00 AM,,Scheduled,0,2026-09-08
RTINSP-204337-2026,ONS012197,Business License,ONS - Rental Housing,506 S PROVIDENCE RD   COLUMBIA MO 65203,"Brockhouse, David",12:00 AM,12:00 AM,,Scheduled,0,2026-09-08
RTINSP-204487-2026,ONS012312,Business License,ONS - Rental Housing,2408 BRAEMORE RD   COLUMBIA MO 65203,"Brockhouse, David",10:00 AM,10:00 AM,,Scheduled,0,2026-09-08
RTINSP-203518-2026,ONS012801,Business License,ONS - Rental Housing,2404 HOLLYHOCK DR   COLUMBIA MO 65202,"Stark, James",02:00 PM,02:00 PM,,Scheduled (permit),0,2026-09-08
RTINSP-204569-2026,ONS013152,Business License,ONS - Rental Housing,2811 NORTH WILLOWBROOK RD   COLUMBIA MO 65202,"Stark, James",01:00 PM,01:00 PM,,Scheduled,0,2026-09-08
RTINSP-203906-2026,ONS013849,Business License,ONS - Rental Housing,2305 CREASY SPRINGS RD   COLUMBIA MO 65202,"Brockhouse, David",02:00 PM,02:00 PM,,Scheduled,0,2026-09-08
RTINSP-197836-2026,ONS019897,Business License,ONS - Rental Housing,110 MCBAINE AVE COLUMBIA MO 65203,"Friesz, Adam",03:00 AM,03:00 AM,,Scheduled,0,2026-09-08
RTINSP-204810-2026,ONS021136,Business License,ONS - Rental Housing,1708 PRINCETON DR COLUMBIA MO 65203,"Millard, Rachelle",01:45 PM,01:45 PM,,Scheduled,0,2026-09-08
RTINSP-204355-2026,ONS021406,Business License,ONS - Rental Housing,800 WOODROW ST COLUMBIA MO 65201,"Friesz, Adam",11:15 AM,11:15 AM,,Scheduled,0,2026-09-08
RTINSP-203197-2026,ONS022193,Business License,ONS - Rental Housing,1312 WHITE OAK LN HOUSE COLUMBIA MO 65203,"Millard, Rachelle",09:00 AM,09:00 AM,,Scheduled (permit),0,2026-09-08
RTINSP-204600-2026,ONS026656,Business License,ONS - Rental Housing,1512 ST ANDREW ST COLUMBIA MO 65203,"Millard, Rachelle",01:00 PM,01:00 PM,,Scheduled,0,2026-09-08
RTINSP-205199-2026,ONS026675,Business License,ONS - Rental Housing,414 EAST ROCKCREEK DR COLUMBIA MO 65203,"Brockhouse, David",01:00 PM,01:00 PM,,Scheduled,0,2026-09-08
OPM-192650-2026,OPM-055145-2025,Code Case,ONS - Property Maintenance,1816 GRINDSTONE PKWY TRLR COLUMBIA MO 65201,"Friesz, Adam",03:00 AM,03:00 AM,,Scheduled,0,2026-09-08
1STINSP-205273-2026,OPM-060405-2026,Code Case,ONS - Initial Inspection,803 BROADHEAD ST COLUMBIA MO 65203,"Friesz, Adam",03:00 AM,03:00 AM,,Scheduled,0,2026-09-08
1STINSP-206136-2026,ORC-061245-2026,Code Case,ONS - Initial Inspection,3507 LONGFORD'S MILL DR COLUMBIA MO 65203,"Friesz, Adam",09:00 AM,09:00 AM,,Scheduled,0,2026-09-08
ONSINSPECT-205758-2026,OTOE-061233-2026,Code Case,ONS - Inspection,5320 GODAS CIR   COLUMBIA MO 65202,"Cagle, Joseph",08:35 AM,08:35 AM,,Scheduled,0,2026-09-08
ONSINSPECT-205761-2026,OTOE-061234-2026,Code Case,ONS - Inspection,5322 GODAS CIR COLUMBIA MO 65202,"Cagle, Joseph",08:39 AM,08:39 AM,,Scheduled,0,2026-09-08
ONSINSPECT-205765-2026,OTOE-061236-2026,Code Case,ONS - Inspection,5326 GODAS CIR COLUMBIA MO 65202,"Cagle, Joseph",08:46 AM,08:46 AM,,Scheduled,0,2026-09-08
ONSINSPECT-205768-2026,OTOE-061237-2026,Code Case,ONS - Inspection,1324 GODAS DR   COLUMBIA MO 65202,"Cagle, Joseph",08:52 AM,08:52 AM,,Scheduled,0,2026-09-08
ONSINSPECT-205774-2026,OTOE-061239-2026,Code Case,ONS - Inspection,1314 GODAS DR   COLUMBIA MO 65202,"Cagle, Joseph",08:59 AM,08:59 AM,,Scheduled,0,2026-09-08
ONSINSPECT-205778-2026,OTOE-061242-2026,Code Case,ONS - Inspection,1317 GODAS DR COLUMBIA MO 65202,"Cagle, Joseph",09:48 AM,09:48 AM,,Scheduled,0,2026-09-08
