View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-202702-2026,BL026254,Business License,BSD-Business License,8 DIEGO CT APT F COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-23
BLBI-202791-2026,BL026344,Business License,BSD-Business License,156 Cassel Way Bastrop TX 78602,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-23
BLBI-202810-2026,BL026471,Business License,BSD-Business License,1001 WESTWINDS DR COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-23
BLBI-202734-2026,BL026541,Business License,BSD-Business License,504 BIG BEAR BLVD STE A COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-23
BLBI-202793-2026,BL026553,Business License,BSD-Business License,4106 S WAPPEL DR COL MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-23
BLDG-202683-2026,BLDC-000884-2026,Permit,BSD-Framing and Rough In's,3401 BUTTONWOOD DR COLUMBIA MO 65201,"Brown, Daryl",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-07-23
BLDG-202754-2026,BLDC-001620-2024,Permit,BSD-Insulation,306 PARK AVE COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-23
FFNL-202831-2026,BLDC-001620-2024,Permit,Fire Final (Building),306 PARK AVE COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-07-23
FIRE-PIPE-202829-2026,BLDC-001620-2024,Permit,Fire - Sprinkler System Piping Inspection,306 PARK AVE COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-23
FIRE-PIPE-202830-2026,BLDC-001620-2024,Permit,Fire - Sprinkler System Piping Inspection,306 PARK AVE COL MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-07-23
ACRT-202708-2026,BLDC-001851-2024,Permit,Accessible Route Certification,608 PARK AVE COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-23
FIRE-PIPE-202832-2026,BLDC-003106-2026,Permit,Fire - Sprinkler System Piping Inspection,2101 W BROADWAY STE D COLUMBIA MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Re-inspection required,0,2026-07-23
FIRE-PIPE-202834-2026,BLDC-003106-2026,Permit,Fire - Sprinkler System Piping Inspection,2101 W BROADWAY STE D COLUMBIA MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-23
FFNL-202833-2026,BLDC-003106-2026,Permit,Fire Final (Building),2101 W BROADWAY STE D COLUMBIA MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-07-23
BLDG-202779-2026,BLDC-003110-2024,Permit,BSD-Final (Building and Trades),1300 BOWLING ST COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Completed,0,2026-07-23
BLDG-202783-2026,BLDC-003291-2026,Permit,BSD-Framing and Rough In's,206 S COLLEGE AVE COLUMBIA MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-23
FGAS-202752-2026,BLDC-003471-2025,Permit,BSD-Fuel Gas Tag,602 FAY ST STE 101 COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Cancelled ,0,2026-07-23
FGAS-202751-2026,BLDC-003471-2025,Permit,BSD-Fuel Gas Pressure,602 FAY ST STE 101 COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-23
BLDG-202750-2026,BLDC-003471-2025,Permit,BSD-Framing and Rough In's,602 FAY ST STE 101 COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Cancelled ,0,2026-07-23
SITE-202721-2026,BLDC-003596-2024,Permit,BSD-Yard Final (Commercial),1304 BOWLING ST COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-23
ELEC-202806-2026,BLDC-004423-2024,Permit,BSD-Electrical Tag,4105 LEDGER DR COLUMBIA MO 65201,"Tiffany, Andy",01:18 PM,01:18 PM,,Passed Permit Inspection,0,2026-07-23
ELEC-202692-2026,BLDC-004423-2024,Permit,BSD-Electrical Tag,4105 LEDGER DR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Re-inspection required (with fee),0,2026-07-23
