View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-197099-2026,BL004426,Business License,BSD-Business License,6705 STEPHENS STATION RD COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-13
BLBI-197104-2026,BL026206,Business License,BSD-Business License,14 E BUSINESS LOOP 70   COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-13
FGAS-197030-2026,BLDC-000559-2026,Permit,BSD-Fuel Gas Tag,1310 VANDIVER DR COL MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-13
FFNL-196937-2026,BLDC-000559-2026,Permit,Fire Final (Building),1310 VANDIVER DR COL MO 65202,"Gilstrap, Christopher",01:30 PM,01:30 PM,,Requested,0,2026-05-13
FGAS-197029-2026,BLDC-000559-2026,Permit,BSD-Fuel Gas Pressure,1310 VANDIVER DR COL MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-13
BLDG-197055-2026,BLDC-000935-2025,Permit,BSD-Insulation,4170 BETHEL ST COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-13
ELEC-197122-2026,BLDC-001631-2024,Permit,BSD-Electrical Tag,512 PARK AVE COL MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-13
ELEC-197120-2026,BLDC-001632-2024,Permit,BSD-Electrical Tag,600 PARK AVE COL MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-13
ACRT-197075-2026,BLDC-001637-2024,Permit,Accessible Route Certification,1751 W ASH ST   COLUMBIA MO 65203,"Hazlett, Harlan",07:46 AM,07:46 AM,,Passed Permit Inspection,0,2026-05-13
FFNL-197149-2026,BLDC-001637-2024,Permit,Fire Final (Building),1751 W ASH ST   COLUMBIA MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-13
ELEC-197116-2026,BLDC-001851-2024,Permit,BSD-Electrical Tag,608 PARK AVE COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-13
EROS-197087-2026,BLDC-001979-2024,Permit,BSD-Erosion Control Measures,5400 SINCLAIR RD COLUMBIA MO 65203,"Allen, Cody",08:31 AM,08:31 AM,,Passed Permit Inspection,0,2026-05-13
FGAS-197033-2026,BLDC-002068-2026,Permit,BSD-Fuel Gas Tag,2601 RANGE LINE ST STE 113 COLUMBIA MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-13
FGAS-197032-2026,BLDC-002068-2026,Permit,BSD-Fuel Gas Pressure,2601 RANGE LINE ST STE 113 COLUMBIA MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-13
SITE-197044-2026,BLDC-002269-2021,Permit,BSD-Yard Final (Residential),4525 WACO RD COLUMBIA MO 65202,"Price, Bud",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-13
BLDG-197076-2026,BLDC-003021-2026,Permit,BSD-Footing,4709 PARIS RD COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-05-13
FFNL-197192-2026,BLDC-003993-2025,Permit,Fire Final (Building),4525 WACO RD   COLUMBIA MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-13
BLDG-197071-2026,BLDC-003993-2025,Permit,BSD-Final (Building and Trades),4525 WACO RD   COLUMBIA MO 65202,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-13
SBC-197158-2026,BLDC-003993-2025,Permit,State Boiler Certification,4525 WACO RD   COLUMBIA MO 65202,"ABBOTT, DEREK",11:42 AM,11:42 AM,,Completed,0,2026-05-13
BLDG-197070-2026,BLDC-004658-2025,Permit,BSD-Final (Building and Trades),4525 WACO RD   COLUMBIA MO 65202,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-13
FFNL-197191-2026,BLDC-004658-2025,Permit,Fire Final (Building),4525 WACO RD   COLUMBIA MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-13
BLDG-197069-2026,BLDC-004766-2025,Permit,BSD-Footing,2529 N STADIUM BLVD COL MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-13
FIRE-FA-197073-2026,BLDC-005301-2025,Permit,Fire - Alarm Acceptance Testing,1 S KEENE ST STE 101 COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-13
FIRE-PIPE-197074-2026,BLDC-005301-2025,Permit,Fire - Sprinkler System Piping Inspection,1 S KEENE ST STE 101 COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-13
FFNL-197072-2026,BLDC-005301-2025,Permit,Fire Final (Building),1 S KEENE ST STE 101 COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-13
