View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-201726-2026,BL007864,Business License,BSD-Business License,3201 S PROVIDENCE RD STE 101 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
FIRENEWBI-200435-2026,BL016578,Business License,Fire - NEW Business Inspection,2900 FORUM BLVD COLUMBIA MO 65203,"Gilstrap, Christopher",01:30 AM,01:30 AM,,Fire - Passed Inspection,0,2026-07-12
BLBI-201764-2026,BL026311,Business License,BSD-Business License,700 E STADIUM BLVD   COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201774-2026,BL026312,Business License,BSD-Business License,1100 S Providence RD Columbia MO 65211,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201768-2026,BL026313,Business License,BSD-Business License,1 CHAMPIONS DR   COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201776-2026,BL026315,Business License,BSD-Business License,1303 RESEARCH PARK DR   COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201762-2026,BL026316,Business License,BSD-Business License,1210 CARRIE FRANCKE DR   COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201889-2026,BL026400,Business License,BSD-Business License,10735 RAVENNA RD TWINSBURG OH 44087,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201704-2026,BL026415,Business License,BSD-Business License,310 TIGER LN STE 201 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201864-2026,BL026469,Business License,BSD-Business License,10 W NIFONG BLVD STE 105 COL MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201815-2026,BL026475,Business License,BSD-Business License,2101 BURLINGTON ST     COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
BLBI-201821-2026,BL026476,Business License,BSD-Business License,2531 BERNADETTE DR COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
FIRENEWBI-201822-2026,BL026476,Business License,Fire - NEW Business Inspection,2531 BERNADETTE DR COLUMBIA MO 65203,"Wright, Colin",12:00 AM,12:00 AM,,Fire - Passed Inspection,0,2026-07-12
BLBI-201850-2026,BL026480,Business License,BSD-Business License,2901 W BROADWAY STE 105 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-12
ELEC-201810-2026,BLDC-001623-2024,Permit,BSD-Electrical Tag,318 PARK AVE COL MO 65201,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
ELEC-201809-2026,BLDC-001624-2024,Permit,BSD-Electrical Tag,400 PARK AVE COL MO 65201,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
ELEC-201808-2026,BLDC-001630-2024,Permit,BSD-Electrical Tag,508 PARK AVE COL MO 65201,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
ACI-201785-2026,BLDC-002365-2026,Permit,BSD-Above Ceiling Inspection,2300 BERNADETTE DR STE 434 COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
FLT-201780-2026,BLDC-002676-2026,Permit,BSD-Lighting Controls Functional Testing,2601 BERNADETTE PL COL MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-12
ACI-201806-2026,BLDC-002676-2026,Permit,BSD-Above Ceiling Inspection,2601 BERNADETTE PL COL MO 65203,"Tiffany, Andy",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-12
BLDG-201807-2026,BLDC-002676-2026,Permit,BSD-Insulation,2601 BERNADETTE PL COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
BLDG-201753-2026,BLDC-004358-2026,Permit,BSD-Framing and Rough In's,1801 N STADIUM BLVD COL MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-07-12
BLDG-201759-2026,BLDC-005033-2025,Permit,BSD-Framing and Rough In's,1300 FELLOWS PL COLUMBIA MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Cancelled ,0,2026-07-12
BLDG-201803-2026,BLDC-005033-2025,Permit,BSD-Framing and Rough In's,1300 FELLOWS PL COLUMBIA MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required,0,2026-07-12
SITE-201830-2026,BLDR-002860-2025,Permit,BSD-Yard Final (Residential),416 ANGELS REST WAY COL MO 65203,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
EROS-201817-2026,BLDR-003019-2026,Permit,BSD-Erosion Control Measures,5724 KESTREL LOOP COL MO 65202,"Price, Bud",11:08 AM,11:08 AM,,Cancelled ,0,2026-07-12
BLDG-201836-2026,BLDR-003147-2026,Permit,BSD-Framing and Rough In's,2657 FRAZIER LOOP   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-07-12
ELEC-201837-2026,BLDR-003147-2026,Permit,BSD-Electrical Tag,2657 FRAZIER LOOP   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
BLDG-201839-2026,BLDR-003149-2026,Permit,BSD-Framing and Rough In's,2680 FRAZIER LOOP   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required,0,2026-07-12
ELEC-201838-2026,BLDR-003149-2026,Permit,BSD-Electrical Tag,2680 FRAZIER LOOP   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
BLDG-201805-2026,BLDR-003871-2026,Permit,BSD-Residential Final (Building and Trades),803 W ASH ST COL MO 65203,"Tiffany, Andy",10:18 AM,10:18 AM,,Passed Permit Inspection,0,2026-07-12
BLDG-201715-2026,BLDR-003871-2026,Permit,BSD-Framing and Rough In's,803 W ASH ST COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
SITE-201818-2026,BLDR-003949-2026,Permit,BSD-Driveway (Residential),4405 ROYAL COUNTY RD COLUMBIA MO 65201,"Nunley, Louis",11:10 AM,11:10 AM,,Passed Permit Inspection,0,2026-07-12
SITE-201819-2026,BLDR-003949-2026,Permit,BSD-Sidewalk (Residential),4405 ROYAL COUNTY RD COLUMBIA MO 65201,"Nunley, Louis",11:10 AM,11:10 AM,,Partial Pass Permit Inspection,0,2026-07-12
PLMB-201811-2026,BLDR-004072-2026,Permit,BSD-Plumbing Groundwork,5417 BRIAR ROSE CT COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
PLMB-201812-2026,BLDR-004072-2026,Permit,BSD-Plumbing Sewer Lateral,5417 BRIAR ROSE CT COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
BLDG-201786-2026,BLDR-004626-2026,Permit,BSD-Footing,1710 BOSCO BEL DR COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-12
EROS-201820-2026,BLDR-005495-2025,Permit,BSD-Erosion Control Measures,3908 FORESTER CT   COLUMBIA MO 65202,"Price, Bud",01:00 PM,01:00 PM,,Cancelled ,0,2026-07-12
DEMO-199472-2026,DEMO-004482-2026,Permit,BSD-Pick Up Demo Sign,3200 NORTHLAND DR COLUMBIA MO 65202,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-07-12
