View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-197595-2026,BL026143,Business License,BSD-Business License,433 S. CLARK AVE Ferguson MO 63135,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-20
Food-196280-2026,BL026158,Business License,EH - Food Establishment Inspection,601 E BUSINESS LOOP 70 STE C COLUMBIA MO 65201,"Bales, Jordan",01:03 PM,01:03 PM,,Construction Permit (Pass),0,2026-05-20
BLBI-197717-2026,BL026236,Business License,BSD-Business License,2703 E BROADWAY STE 230 COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-20
BLDG-197651-2026,BLDC-001424-2026,Permit,BSD-Insulation,914 E BROADWAY COL MO 65201,"Brown, Daryl",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-20
LCRT-197659-2026,BLDC-001637-2024,Permit,Exterior Lighting Compliance Certification,1751 W ASH ST   COLUMBIA MO 65203,"Hazlett, Harlan",08:06 AM,08:06 AM,,Passed Permit Inspection,0,2026-05-20
BLDG-197580-2026,BLDC-002137-2026,Permit,BSD-Final (Building and Trades),303 N STADIUM BLVD STE 103 COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-20
ELEC-197735-2026,BLDC-003233-2025,Permit,BSD-Electrical Groundwork,901 RICHMOND AVE   COLUMBIA MO 65201,"Lichty, Curtis",01:43 PM,01:43 PM,,Passed Permit Inspection,0,2026-05-20
BLDG-197663-2026,BLDC-004423-2024,Permit,BSD-Framing and Rough In's,4105 LEDGER DR COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-05-20
ARBR-197680-2026,BLDC-005847-2024,Permit,BSD-Landscaping,1020 S EL CHAPARRAL AVE COL MO 65201,"Fritz, Steven",01:00 PM,01:00 PM,,Re-inspection required,0,2026-05-20
SITE-197682-2026,BLDC-005847-2024,Permit,BSD-Yard Final (Commercial),1020 S EL CHAPARRAL AVE COL MO 65201,"Nunley, Louis",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-05-20
