View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLDG-198452-2026,BLDC-000193-2026,Permit,BSD-Final (Building and Trades),2800 PARIS RD   COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Re-inspection required,0,2026-05-29
BLDG-198456-2026,BLDC-000195-2026,Permit,BSD-Final (Building and Trades),2800 PARIS RD STE 101 COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-29
BLDG-198448-2026,BLDC-002068-2026,Permit,BSD-Footing,2601 RANGE LINE ST STE 113 COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Cancelled ,0,2026-05-29
PLMB-198483-2026,BLDC-002711-2026,Permit,BSD-Plumbing Groundwork,1314 N SEVENTH ST COL MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
BLDG-198411-2026,BLDC-004423-2024,Permit,BSD-Insulation,4105 LEDGER DR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-05-29
ELEC-198464-2026,BLDC-004424-2024,Permit,BSD-Electrical Tag,4109 LEDGER DR COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Cancelled ,0,2026-05-29
EROS-198477-2026,BLDC-005847-2024,Permit,BSD-Erosion Control Measures,1020 S EL CHAPARRAL AVE COL MO 65201,"Nunley, Louis",09:47 AM,09:47 AM,,Cancelled ,0,2026-05-29
BLDG-198468-2026,BLDR-000097-2026,Permit,BSD-Residential Final (Building and Trades),5748 ROYAL PLUM CT COLUMBIA MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-05-29
SITE-198399-2026,BLDR-000436-2026,Permit,BSD-Driveway (Residential),708 ALTON AVE COLUMBIA MO 65201,"Nunley, Louis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
SITE-198400-2026,BLDR-000436-2026,Permit,BSD-Sidewalk (Residential),708 ALTON AVE COLUMBIA MO 65201,"Nunley, Louis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
SITE-198401-2026,BLDR-000437-2026,Permit,BSD-Sidewalk (Residential),710 ALTON AVE COLUMBIA MO 65201,"Nunley, Louis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
SITE-198402-2026,BLDR-000437-2026,Permit,BSD-Driveway (Residential),710 ALTON AVE COLUMBIA MO 65201,"Nunley, Louis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
SITE-198439-2026,BLDR-000804-2025,Permit,BSD-Yard Final (Residential),601 TRALEE LN COL MO 65201,"Nunley, Louis",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-05-29
SITE-198447-2026,BLDR-000855-2026,Permit,BSD-Yard Final (Residential),3301 MILAN DR COL MO 65202,"Price, Bud",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
SITE-198480-2026,BLDR-001430-2026,Permit,BSD-Sidewalk (Residential),5504 MURFREESBORO DR COL MO 65201,"Nunley, Louis",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-05-29
SITE-198481-2026,BLDR-001430-2026,Permit,BSD-Driveway (Residential),5504 MURFREESBORO DR COL MO 65201,"Nunley, Louis",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-05-29
SITE-198485-2026,BLDR-002115-2025,Permit,BSD-Yard Final (Residential),5900 HUNTINGTON CT COL MO 65202,"Price, Bud",10:41 AM,10:41 AM,,Passed Permit Inspection,0,2026-05-29
SITE-198493-2026,BLDR-002358-2025,Permit,BSD-Yard Final (Residential),5806 GREEN GATE LN COLUMBIA MO 65201,"Nunley, Louis",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-05-29
BLDG-198462-2026,BLDR-002698-2026,Permit,BSD-Insulation,5000 DERBY RIDGE DR STE 502 COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
BLDG-198463-2026,BLDR-002699-2026,Permit,BSD-Insulation,5000 DERBY RIDGE DR STE 503 COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
BLDG-198465-2026,BLDR-002701-2026,Permit,BSD-Framing and Rough In's,5000 DERBY RIDGE DR STE 505 COLUMBIA MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
BLDG-198466-2026,BLDR-002701-2026,Permit,BSD-Insulation,5000 DERBY RIDGE DR STE 505 COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
BLDG-198450-2026,BLDR-002702-2026,Permit,BSD-Framing and Rough In's,5000 DERBY RIDGE DR STE 506 COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
BLDG-198451-2026,BLDR-002703-2026,Permit,BSD-Framing and Rough In's,5000 DERBY RIDGE DR STE 507 COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
BLDG-198467-2026,BLDR-002704-2026,Permit,BSD-Framing and Rough In's,5000 DERBY RIDGE DR STE 508 COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required,0,2026-05-29
ELEC-198380-2026,BLDR-002800-2026,Permit,BSD-Electrical Tag,2727 EASLEY CABIN CIR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
BLDG-198453-2026,BLDR-002824-2026,Permit,BSD-Framing and Rough In's,702 RUSSELL BLVD COL MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-29
BLDG-198393-2026,BLDR-003031-2026,Permit,BSD-Insulation,2825 EMERY DR COL MO 65202,"Brown, Daryl",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
BLDG-198394-2026,BLDR-003031-2026,Permit,BSD-Framing and Rough In's,2825 EMERY DR COL MO 65202,"Brown, Daryl",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
SITE-198437-2026,BLDR-003062-2024,Permit,BSD-Sidewalk (Residential),4615 COPPERSTONE CT COLUMBIA MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
BLDG-198449-2026,BLDR-003432-2026,Permit,BSD-Footing,4906 FALL BROOK DR COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
BLDG-198475-2026,BLDR-003722-2025,Permit,BSD-Residential Final (Building and Trades),709 ANGELS REST WAY COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
SITE-198476-2026,BLDR-003722-2025,Permit,BSD-Yard Final (Residential),709 ANGELS REST WAY COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
SITE-198432-2026,BLDR-004066-2025,Permit,BSD-Yard Final (Residential),5408 DOUBLEJACK CT COL MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-29
PLMB-198489-2026,BLDR-004974-2025,Permit,BSD-Plumbing Sewer Lateral,815 BUCKS RUN COLUMBIA MO 65201,"Tiffany, Andy",11:15 AM,11:15 AM,,Passed Permit Inspection,0,2026-05-29
PLMB-198478-2026,BLDR-004974-2025,Permit,BSD-Plumbing Sewer Tap,815 BUCKS RUN COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
EROS-198519-2026,BLDR-005056-2025,Permit,BSD-Erosion Control Measures,7305 HEPSCOTT CT   COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Failed Re-Inspection ($75 fee),0,2026-05-29
SITE-198520-2026,BLDR-005056-2025,Permit,BSD-Sidewalk (Residential),7305 HEPSCOTT CT   COLUMBIA MO 65203,"Merson, Robert",01:30 PM,01:30 PM,,Cancelled ,0,2026-05-29
ELEC-198473-2026,BLDR-005774-2025,Permit,BSD-Electrical Tag,824 N GARTH AVE  ADU COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-29
SITE-198415-2026,BLDR-006188-2025,Permit,BSD-Yard Final (Residential),210 WALTON HEATH DR COLUMBIA MO 65201,"Nunley, Louis",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-05-29
FIRE-FA-198454-2026,FSYS-002499-2026,Permit,Fire - Alarm Acceptance Testing,2200 BURLINGTON ST COL MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-29
EROS-198470-2026,LDST-005829-2024,Permit,BSD-Erosion Control Measures,1020 S EL CHAPARRAL AVE COL MO 65201,"Nunley, Louis",09:13 AM,09:13 AM,,Cancelled ,0,2026-05-29
MECH-198471-2026,MECH-004149-2026,Permit,BSD-Mechanical Final (W&L),100 SHAD BUSH DR COL MO 65203,"Ayala-Ruiz, Misael",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-05-29
MECH-198444-2026,MECH-004165-2026,Permit,BSD-Mechanical Final (W&L),312 BOURN AVE COLUMBIA MO 65203,"Ayala-Ruiz, Misael",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-29
MECH-198469-2026,MECH-004199-2026,Permit,BSD-Mechanical Final (W&L),4413 WEYBRIDGE DR COL MO 65203,"Ayala-Ruiz, Misael",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-05-29
ONSHNI-193234-2026,OHN-056762-2026,Code Case,ONS - Health Nuisance Inspection,302 DYSART ST COLUMBIA MO 65201,"Perkins, Marsha",09:09 AM,09:09 AM,,Scheduled,0,2026-05-29
ONSHNI-196699-2026,OHN-057854-2026,Code Case,ONS - Health Nuisance Inspection,600 WOODRIDGE DR COLUMBIA MO 65201,"Perkins, Marsha",09:09 AM,09:09 AM,,Scheduled,0,2026-05-29
1STINSP-198487-2026,OHN-058543-2026,Code Case,ONS - Initial Inspection,4800 MELISSA DR COLUMBIA MO 65202,"McClintic, Jason",11:07 AM,11:07 AM,,In Violation,0,2026-05-29
1STINSP-198491-2026,OHN-058549-2026,Code Case,ONS - Initial Inspection,5518 HUNLEY CT COLUMBIA MO 65201,"Perkins, Marsha",11:22 AM,11:22 AM,,In Violation,0,2026-05-29
ONSINSPECT-196677-2026,OLM-057847-2026,Code Case,ONS - Inspection,700 N ANN ST COLUMBIA MO 65201,"Perkins, Marsha",08:03 AM,08:03 AM,,Passed Code Inspection,0,2026-05-29
ONSINSPECT-196683-2026,OLM-057850-2026,Code Case,ONS - Inspection,505 CEDAR LN COLUMBIA MO 65201,"Perkins, Marsha",08:33 AM,08:33 AM,,Scheduled,0,2026-05-29
ONSINSPECT-197031-2026,OLM-058004-2026,Code Case,ONS - Inspection,1411 BOUCHELLE AVE COLUMBIA MO 65201,"Perkins, Marsha",01:03 PM,01:03 PM,,Passed Code Inspection,0,2026-05-29
ONSINSPECT-197963-2026,OLM-058324-2026,Code Case,ONS - Inspection,3301 KEENES EDGE DR COLUMBIA MO 65201,"Fuelling, Quentin",01:56 PM,01:56 PM,,Scheduled,0,2026-05-29
ONSINSPECT-197965-2026,OLM-058349-2026,Code Case,ONS - Inspection,1407 CINNAMON HILL LN   COLUMBIA MO 65201,"Fuelling, Quentin",02:11 PM,02:11 PM,,Scheduled,0,2026-05-29
ONSINSPECT-197968-2026,OLM-058350-2026,Code Case,ONS - Inspection,701 W ASH ST COLUMBIA MO 65203,"Fuelling, Quentin",02:27 PM,02:27 PM,,Scheduled,0,2026-05-29
ONSINSPECT-197974-2026,OLM-058354-2026,Code Case,ONS - Inspection,5312 GASCONADE DR COLUMBIA MO 65202,"Fuelling, Quentin",03:04 PM,03:04 PM,,Scheduled,0,2026-05-29
ONSINSPECT-197976-2026,OLM-058355-2026,Code Case,ONS - Inspection,626 ARMITAGE DR   COLUMBIA MO 65202,"Fuelling, Quentin",03:24 PM,03:24 PM,,Scheduled,0,2026-05-29
1STINSP-198539-2026,OLM-058473-2026,Code Case,ONS - Initial Inspection,3801 JUNGLE TREE DR COLUMBIA MO 65202,"Fuelling, Quentin",03:51 PM,03:51 PM,,Scheduled,0,2026-05-29
1STINSP-198515-2026,OLM-058517-2026,Code Case,ONS - Initial Inspection,4208 RICE RD COLUMBIA MO 65202,"Fuelling, Quentin",01:20 PM,01:20 PM,,Scheduled,0,2026-05-29
1STINSP-198512-2026,OLM-058535-2026,Code Case,ONS - Initial Inspection,601 EASTLAKE DR COLUMBIA MO 65203,"Fuelling, Quentin",01:16 PM,01:16 PM,,Scheduled,0,2026-05-29
1STINSP-198488-2026,OLM-058547-2026,Code Case,ONS - Initial Inspection,4800 MELISSA DR COLUMBIA MO 65202,"McClintic, Jason",11:12 AM,11:12 AM,,In Violation,0,2026-05-29
1STINSP-198490-2026,OLM-058548-2026,Code Case,ONS - Initial Inspection,2301 HENDRIX DR   COLUMBIA MO 65202,"McClintic, Jason",11:22 AM,11:22 AM,,In Violation,0,2026-05-29
1STINSP-198496-2026,OLM-058550-2026,Code Case,ONS - Initial Inspection,8 ALBANY DR COLUMBIA MO 65201,"Perkins, Marsha",11:51 AM,11:51 AM,,In Violation,0,2026-05-29
1STINSP-198498-2026,OLM-058551-2026,Code Case,ONS - Initial Inspection,408 CEDAR LN COLUMBIA MO 65201,"Perkins, Marsha",11:55 AM,11:55 AM,,In Violation,0,2026-05-29
1STINSP-198507-2026,OLM-058553-2026,Code Case,ONS - Initial Inspection,1901 RANGE LINE ST DEMO   COLUMBIA MO 65202,"McClintic, Jason",12:51 PM,12:51 PM,,In Violation,0,2026-05-29
1STINSP-198510-2026,OLM-058554-2026,Code Case,ONS - Initial Inspection,5556 SWEETGUM CIR COLUMBIA MO 65202,"McClintic, Jason",01:13 PM,01:13 PM,,In Violation,0,2026-05-29
1STINSP-198521-2026,OLM-058555-2026,Code Case,ONS - Initial Inspection,1807 BOYD LN COLUMBIA MO 65202,"Fuelling, Quentin",01:31 PM,01:31 PM,,Scheduled,0,2026-05-29
1STINSP-198525-2026,OLM-058556-2026,Code Case,ONS - Initial Inspection,1906 LIGHTVIEW DR COLUMBIA MO 65202,"Fuelling, Quentin",01:51 PM,01:51 PM,,Scheduled,0,2026-05-29
1STINSP-198527-2026,OLM-058557-2026,Code Case,ONS - Initial Inspection,5002 GEETHA DR COLUMBIA MO 65202,"Fuelling, Quentin",01:56 PM,01:56 PM,,Scheduled,0,2026-05-29
1STINSP-198529-2026,OLM-058558-2026,Code Case,ONS - Initial Inspection,2208 OSAGE DR COLUMBIA MO 65202,"Fuelling, Quentin",01:59 PM,01:59 PM,,Scheduled,0,2026-05-29
