View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-197524-2026,BL025870,Business License,BSD-Business License,2101 CORONA RD STE 103 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-19
BLBI-197537-2026,BL026231,Business License,BSD-Business License,14 E BUSINESS LOOP 70   COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-19
HLTH-197603-2026,BLDC-000144-2026,Permit,Health Final (Building Permit),2300 BERNADETTE DR STE 720 COL MO 65203,"Haenchen, Emma",12:00 AM,12:00 AM,,Completed,0,2026-05-19
BLDG-197562-2026,BLDC-001424-2026,Permit,BSD-Framing and Rough In's,914 E BROADWAY COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-19
BLDG-197471-2026,BLDC-001637-2024,Permit,BSD-Final (Building and Trades),1751 W ASH ST   COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-19
BLDG-197561-2026,BLDC-003335-2026,Permit,BSD-Framing and Rough In's,2011 CORONA RD STE 101 COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-19
BLDG-197559-2026,BLDC-003365-2026,Permit,BSD-Framing and Rough In's,1400 FORUM BLVD   COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-19
FFNL-197565-2026,BLDC-004192-2022,Permit,Fire Final (Building),2500 E BUSINESS LOOP 70 COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-19
FFNL-197570-2026,BLDC-005847-2024,Permit,Fire Final (Building),1020 S EL CHAPARRAL AVE COL MO 65201,"Bauer, Michael",11:42 AM,11:42 AM,,Scheduled (permit),0,2026-05-19
ELEC-197566-2026,BLDR-000176-2026,Permit,BSD-Electrical Tag,407 DUNCAN ST APT ADU COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Re-inspection required,0,2026-05-19
BLDG-197477-2026,BLDR-000712-2026,Permit,BSD-Insulation,1020 SPYGLASS CT COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-19
BLDG-197476-2026,BLDR-000712-2026,Permit,BSD-Framing and Rough In's,1020 SPYGLASS CT COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-19
BLDG-197563-2026,BLDR-000855-2026,Permit,BSD-Residential Final (Building and Trades),3301 MILAN DR COL MO 65202,"Tiffany, Andy",10:31 AM,10:31 AM,,Passed Permit Inspection,0,2026-05-19
