View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-194887-2026,BL026049,Business License,BSD-Business License,412 WESTRIDGE DR COL MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,On Hold Business License,0,2026-04-15
BLBI-195009-2026,BL026049,Business License,BSD-Business License,412 WESTRIDGE DR COL MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-04-15
FIRENEWBI-194944-2026,BL026051,Business License,Fire - NEW Business Inspection,1024 ARTIST ALY COLUMBIA MO 65201,"Wright, Colin",12:00 AM,12:00 AM,,Scheduled,0,2026-04-15
BLBI-194895-2026,BL026053,Business License,BSD-Business License,3301 S Providence RD Columbia MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-04-15
BLBI-194928-2026,BL026054,Business License,BSD-Business License,312 NEBRASKA AVE STE B COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-04-15
BLDG-194989-2026,BLDC-001632-2024,Permit,BSD-Framing and Rough In's,600 PARK AVE COL MO 65201,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-15
PLMB-195015-2026,BLDC-002137-2026,Permit,BSD-Plumbing Groundwork,303 N STADIUM BLVD STE 103 COL MO 65203,"Hazlett, Harlan",11:42 AM,11:42 AM,,Passed Permit Inspection,0,2026-04-15
BLDG-194986-2026,BLDC-004064-2024,Permit,BSD-Footing,3100 KEENE CT COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-04-15
BLDG-194968-2026,BLDC-005661-2025,Permit,BSD-Footing,500 DAYSPRING DR COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-04-15
FGAS-195002-2026,BLDR-000096-2026,Permit,BSD-Fuel Gas Pressure,5743 ROYAL PLUM CT COLUMBIA MO 65202,"Hombs, Josh",10:07 AM,10:07 AM,,Passed Permit Inspection,0,2026-04-15
FGAS-195003-2026,BLDR-000096-2026,Permit,BSD-Fuel Gas Tag,5743 ROYAL PLUM CT COLUMBIA MO 65202,"Hombs, Josh",10:07 AM,10:07 AM,,Passed Permit Inspection,0,2026-04-15
ELEC-195001-2026,BLDR-000096-2026,Permit,BSD-Electrical Tag,5743 ROYAL PLUM CT COLUMBIA MO 65202,"Hombs, Josh",10:07 AM,10:07 AM,,Passed Permit Inspection,0,2026-04-15
BLDG-194995-2026,BLDR-000096-2026,Permit,BSD-Framing and Rough In's,5743 ROYAL PLUM CT COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Re-inspection required,0,2026-04-15
SITE-194973-2026,BLDR-001272-2026,Permit,BSD-Driveway (Residential),5221 WHISPER DR COLUMBIA MO 65203,"Nunley, Louis",02:28 PM,02:28 PM,,Passed Permit Inspection,0,2026-04-15
SITE-194974-2026,BLDR-001272-2026,Permit,BSD-Sidewalk (Residential),5221 WHISPER DR COLUMBIA MO 65203,"Nunley, Louis",02:29 PM,02:29 PM,,Passed Permit Inspection,0,2026-04-15
SITE-195010-2026,BLDR-001432-2026,Permit,BSD-Yard Final (Residential),5324 SPARTINA LN COLUMBIA MO 65203,"Nunley, Louis",10:43 AM,10:43 AM,,Passed Permit Inspection,0,2026-04-15
FGAS-195007-2026,BLDR-001603-2026,Permit,BSD-Fuel Gas Tag,5301 MAKANA LN COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-15
ELEC-195006-2026,BLDR-001603-2026,Permit,BSD-Electrical Tag,5301 MAKANA LN COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-15
BLDG-195004-2026,BLDR-001603-2026,Permit,BSD-Framing and Rough In's,5301 MAKANA LN COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-04-15
FGAS-195005-2026,BLDR-001603-2026,Permit,BSD-Fuel Gas Pressure,5301 MAKANA LN COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-04-15
BLDG-194953-2026,BLDR-001734-2026,Permit,BSD-Framing and Rough In's,3513 JAGGED LEAF DR COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Re-inspection required,0,2026-04-15
FGAS-194952-2026,BLDR-001734-2026,Permit,BSD-Fuel Gas Tag,3513 JAGGED LEAF DR COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-15
FGAS-194955-2026,BLDR-001734-2026,Permit,BSD-Fuel Gas Pressure,3513 JAGGED LEAF DR COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-15
ELEC-194954-2026,BLDR-001734-2026,Permit,BSD-Electrical Tag,3513 JAGGED LEAF DR COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-04-15
