View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-199960-2026,BL013711,Business License,BSD-Business License,1000 W NIFONG BLVD STE 2-210 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-06-18
BLDG-199949-2026,BLDC-000366-2026,Permit,BSD-Final (Building and Trades),4200 MERCHANT ST APT 301 COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-18
PLMB-199946-2026,BLDC-000469-2026,Permit,BSD-Plumbing Groundwork,3600 W WORLEY ST COLUMBIA MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-18
BLDG-199987-2026,BLDC-001620-2024,Permit,BSD-Footing,306 PARK AVE COL MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Cancelled ,0,2026-06-18
BLDG-200031-2026,BLDC-001620-2024,Permit,BSD-Footing,306 PARK AVE COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Cancelled ,0,2026-06-18
BLDG-199954-2026,BLDC-002068-2026,Permit,BSD-Footing,2601 RANGE LINE ST STE 113 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-06-18
BLDG-199678-2026,BLDC-002297-2026,Permit,BSD-Footing,1101 PEBBLES PKWY COL MO 65201,"Hombs, Josh",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-06-18
BLDG-200008-2026,BLDC-004192-2022,Permit,BSD-Final (Building and Trades),2500 E BUSINESS LOOP 70 COLUMBIA MO 65201,"Brown, Daryl",01:00 PM,01:00 PM,,Re-inspection required,0,2026-06-18
ARBR-200010-2026,BLDC-004192-2022,Permit,BSD-Landscaping,2500 E BUSINESS LOOP 70 COLUMBIA MO 65201,"Fritz, Steven",01:00 PM,01:00 PM,,Re-inspection required,0,2026-06-18
PLMB-199983-2026,BLDC-005661-2025,Permit,BSD-Plumbing Groundwork,500 DAYSPRING DR COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-06-18
BLDG-199891-2026,BLDC-005662-2025,Permit,BSD-Footing,401 SCOTT BLVD COLUMBIA MO 65203,"Hazlett, Harlan",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-06-18
SITE-199887-2026,BLDR-000234-2026,Permit,BSD-Yard Final (Residential),4805 WHISPER CT COLUMBIA MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-18
BLDG-199886-2026,BLDR-000234-2026,Permit,BSD-Residential Final (Building and Trades),4805 WHISPER CT COLUMBIA MO 65203,"Hombs, Josh",08:00 AM,08:00 AM,,Re-inspection required,0,2026-06-18
SITE-200029-2026,BLDR-000268-2026,Permit,BSD-Yard Final (Residential),817 ANGELS REST WAY COL MO 65203,"Allen, Cody",12:00 AM,12:00 AM,,Partial Pass Permit Inspection,0,2026-06-18
BLDG-200030-2026,BLDR-000268-2026,Permit,BSD-Residential Final (Building and Trades),817 ANGELS REST WAY COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-06-18
BLDG-199997-2026,BLDR-000618-2026,Permit,BSD-Residential Final (Building and Trades),3517 JAGGED LEAF DR COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-06-18
BLDG-199834-2026,BLDR-001160-2026,Permit,BSD-Framing and Rough In's,1500 WILSON AVE COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Re-inspection required,0,2026-06-18
BLDG-199833-2026,BLDR-001160-2026,Permit,BSD-Insulation,1500 WILSON AVE COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Re-inspection required,0,2026-06-18
SITE-199984-2026,BLDR-001624-2026,Permit,BSD-Sidewalk (Residential),2809 MISTY FLOWER DR COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
SITE-199985-2026,BLDR-001624-2026,Permit,BSD-Driveway (Residential),2809 MISTY FLOWER DR COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
ELEC-199910-2026,BLDR-001697-2026,Permit,BSD-Electrical Tag,205 ASH DOWN DR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-18
BLDG-199912-2026,BLDR-001697-2026,Permit,BSD-Framing and Rough In's,205 ASH DOWN DR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-18
BLDG-199911-2026,BLDR-001697-2026,Permit,BSD-Insulation,205 ASH DOWN DR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-18
FGAS-200006-2026,BLDR-001699-2026,Permit,BSD-Fuel Gas Tag,6305 CROOKED SWITCH CT COLUMBIA MO 65201,"Tiffany, Andy",09:41 AM,09:41 AM,,Passed Permit Inspection,0,2026-06-18
FGAS-200007-2026,BLDR-001699-2026,Permit,BSD-Fuel Gas Pressure,6305 CROOKED SWITCH CT COLUMBIA MO 65201,"Tiffany, Andy",09:41 AM,09:41 AM,,Passed Permit Inspection,0,2026-06-18
ELEC-200005-2026,BLDR-001699-2026,Permit,BSD-Electrical Tag,6305 CROOKED SWITCH CT COLUMBIA MO 65201,"Tiffany, Andy",09:40 AM,09:40 AM,,Passed Permit Inspection,0,2026-06-18
BLDG-199919-2026,BLDR-001699-2026,Permit,BSD-Framing and Rough In's,6305 CROOKED SWITCH CT COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
SITE-199998-2026,BLDR-001814-2026,Permit,BSD-Sidewalk (Residential),3120 POMPEY DR COLUMBIA MO 65202,"Nunley, Louis",09:29 AM,09:29 AM,,Passed Permit Inspection,0,2026-06-18
BLDG-200022-2026,BLDR-001933-2026,Permit,BSD-Footing,6401 ADARE MANOR DR COL MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
BLDG-200023-2026,BLDR-001933-2026,Permit,BSD-Residential Final (Building and Trades),6401 ADARE MANOR DR COL MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
ELEC-200033-2026,BLDR-001977-2026,Permit,BSD-Electrical Tag,716 COOK AVE COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
ELEC-200034-2026,BLDR-001998-2026,Permit,BSD-Electrical Tag,714 COOK AVE COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
BLDG-200002-2026,BLDR-002098-2026,Permit,BSD-Insulation,2404 DARLINGTON DR COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
SITE-199869-2026,BLDR-002116-2025,Permit,BSD-Yard Final (Residential),5316 BUTTER CUP DR COLUMBIA MO 65203,"Allen, Cody",07:00 AM,01:00 PM,,Re-inspection required,0,2026-06-18
SITE-200021-2026,BLDR-002382-2025,Permit,BSD-Sidewalk (Residential),6109 PORTRUSH DR COLUMBIA MO 65201,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
SITE-199929-2026,BLDR-002549-2025,Permit,BSD-Yard Final (Residential),4602 MAPLE LEAF DR COLUMBIA MO 65201,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-18
