View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-203738-2026,BL026192,Business License,BSD-Business License,811 E GREEN MEADOWS RD APT 304 COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-08-06
FIRENEWBI-203657-2026,BL026600,Business License,Fire - NEW Business Inspection,3203 BROWN STATION RD COLUMBIA MO 65202,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Scheduled,0,2026-08-06
EROS-203784-2026,BLDC-000072-2019,Permit,BSD-Erosion Control Measures,205 S FIFTH ST   COLUMBIA MO 65201,"Nunley, Louis",08:28 AM,08:28 AM,,Requested,0,2026-08-06
MECH-203648-2026,BLDC-003555-2026,Permit,BSD-Mechanical Grease Duct/Hood,2101 W BROADWAY STE F1 COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-08-06
PLMB-203647-2026,BLDC-003555-2026,Permit,BSD-Plumbing Groundwork,2101 W BROADWAY STE F1 COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-06
ELEC-203722-2026,BLDC-004064-2024,Permit,BSD-Electrical Tag,3100 KEENE CT COL MO 65201,"Lichty, Curtis",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-08-06
BLDG-203793-2026,BLDR-001358-2025,Permit,BSD-Residential Final (Building and Trades),506 HIGH ST APT 102 COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-06
BLDG-203792-2026,BLDR-001361-2025,Permit,BSD-Residential Final (Building and Trades),506 HIGH ST APT 100 COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-06
BLDG-203802-2026,BLDR-001971-2026,Permit,BSD-Insulation,702 LELAND RIDGE RD COLUMBIA MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-06
BLDG-203776-2026,BLDR-002460-2026,Permit,BSD-Residential Final (Building and Trades),5713 KESTREL LOOP COLUMBIA MO 65202,"Brown, Daryl",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-06
SITE-203509-2026,BLDR-002460-2026,Permit,BSD-Yard Final (Residential),5713 KESTREL LOOP COLUMBIA MO 65202,"Price, Bud",08:00 AM,08:00 AM,,Cancelled ,0,2026-08-06
BLDG-203508-2026,BLDR-002460-2026,Permit,BSD-Residential Final (Building and Trades),5713 KESTREL LOOP COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Cancelled ,0,2026-08-06
ELEC-203763-2026,BLDR-002485-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 501 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required (with fee),0,2026-08-06
ELEC-203764-2026,BLDR-002698-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 502 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
ELEC-203765-2026,BLDR-002699-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 503 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
ELEC-203766-2026,BLDR-002700-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 504 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
ELEC-203767-2026,BLDR-002701-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 505 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
ELEC-203768-2026,BLDR-002702-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 506 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
ELEC-203769-2026,BLDR-002703-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 507 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
ELEC-203770-2026,BLDR-002704-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 508 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
ELEC-203771-2026,BLDR-002705-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 509 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
ELEC-203772-2026,BLDR-002706-2026,Permit,BSD-Electrical Tag,5000 DERBY RIDGE DR STE 510 COLUMBIA MO 65202,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
SITE-203774-2026,BLDR-002730-2026,Permit,BSD-Driveway (Residential),3004 RIVINGTON DR COL MO 65203,"Allen, Cody",07:00 AM,07:00 AM,,Passed Permit Inspection,0,2026-08-06
SITE-203775-2026,BLDR-002730-2026,Permit,BSD-Sidewalk (Residential),3004 RIVINGTON DR COL MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Cancelled ,0,2026-08-06
BLDG-203735-2026,BLDR-004067-2026,Permit,BSD-Framing and Rough In's,725 ELLA DR COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-06
BLDG-203736-2026,BLDR-004067-2026,Permit,BSD-Insulation,725 ELLA DR COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-06
ELEC-203733-2026,BLDR-004068-2026,Permit,BSD-Electrical Tag,729 ELLA DR COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-06
BLDG-203734-2026,BLDR-004068-2026,Permit,BSD-Framing and Rough In's,729 ELLA DR COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Re-inspection required,0,2026-08-06
BLDG-203807-2026,BLDR-004168-2025,Permit,BSD-Residential Final (Building and Trades),7320 SELLA CT   COLUMBIA MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-08-06
SITE-203808-2026,BLDR-004273-2025,Permit,BSD-Yard Final (Residential),7421 KIRBY KNOWLE CT   COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Re-inspection required,0,2026-08-06
BLDG-203761-2026,BLDR-004676-2026,Permit,BSD-Framing and Rough In's,212 N GARTH AVE COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-08-06
