View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
FIRENEWBI-194381-2026,BL019451,Business License,Fire - NEW Business Inspection,1809 AMMONETTE ST   COLUMBIA MO 65201,"Gilstrap, Christopher",10:00 AM,10:00 AM,,Fire - Passed Inspection,0,2026-05-15
FIRENEWBI-196969-2026,BL026209,Business License,Fire - NEW Business Inspection,200 E SOUTHAMPTON COLUMBIA MO 65203,"Gilstrap, Christopher",12:00 AM,12:00 AM,,Fire - Passed Inspection,0,2026-05-15
BLBI-197383-2026,BL026218,Business License,BSD-Business License,2900 PARIS RD BLDG 2 COLUMBIA MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-15
BLBI-197294-2026,BL026223,Business License,BSD-Business License,508 E Center AVE Seymour MO 65746,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-05-15
197432-2026,BL026227,Business License,BL - BSM License Approval,29 E Stephenson ST Freeport IL 61032,"GUESS, TODD",03:19 PM,03:19 PM,,Scheduled,0,2026-05-15
FFNL-197427-2026,BLDC-000144-2026,Permit,Fire Final (Building),2300 BERNADETTE DR STE 720 COL MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-15
FFNL-197429-2026,BLDC-000987-2026,Permit,Fire Final (Building),2200 FORUM BLVD STE 107 COL MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-05-15
PLMB-197410-2026,BLDC-001320-2026,Permit,BSD-Plumbing Groundwork,3801 MILLER DR COL MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
PLMB-197376-2026,BLDC-001619-2026,Permit,BSD-Plumbing Sewer Lateral,1110 PEBBLES PKWY COLUMBIA MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-05-15
ACRT-197359-2026,BLDC-002800-2025,Permit,Accessible Route Certification,200 S PROVIDENCE RD COL MO 65203,"Brown, Daryl",06:02 AM,06:02 AM,,Passed Permit Inspection,0,2026-05-15
BLDG-197377-2026,BLDC-005614-2025,Permit,BSD-Final (Building and Trades),1101 CLUB VILLAGE DR COL MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-05-15
BLDG-197332-2026,BLDR-000586-2026,Permit,BSD-Insulation,205 WALTON HEATH DR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-15
FGAS-197334-2026,BLDR-000586-2026,Permit,BSD-Fuel Gas Pressure,205 WALTON HEATH DR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-15
FGAS-197333-2026,BLDR-000586-2026,Permit,BSD-Fuel Gas Tag,205 WALTON HEATH DR COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-15
SITE-197355-2026,BLDR-000806-2025,Permit,BSD-Yard Final (Residential),5325 SPARTINA LN COL MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-15
BLDG-197356-2026,BLDR-000806-2025,Permit,BSD-Residential Final (Building and Trades),5325 SPARTINA LN COL MO 65203,"Lichty, Curtis",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-15
BLDG-197408-2026,BLDR-000806-2025,Permit,BSD-Residential Final (Building and Trades),5325 SPARTINA LN COL MO 65203,"Lichty, Curtis",11:35 AM,11:35 AM,,Passed Permit Inspection,0,2026-05-15
FGAS-197339-2026,BLDR-001236-2026,Permit,BSD-Fuel Gas Pressure,3401 GRAY BIRCH DR   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
FGAS-197338-2026,BLDR-001236-2026,Permit,BSD-Fuel Gas Tag,3401 GRAY BIRCH DR   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
BLDG-197341-2026,BLDR-001236-2026,Permit,BSD-Framing and Rough In's,3401 GRAY BIRCH DR   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required (with fee),0,2026-05-15
ELEC-197340-2026,BLDR-001236-2026,Permit,BSD-Electrical Tag,3401 GRAY BIRCH DR   COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
SITE-197425-2026,BLDR-001279-2026,Permit,BSD-Sidewalk (Residential),5201 WHISPER DR COLUMBIA MO 65203,"Allen, Cody",02:43 PM,02:43 PM,,Partial Pass Permit Inspection,0,2026-05-15
BLDG-197358-2026,BLDR-001359-2025,Permit,BSD-Residential Final (Building and Trades),5321 SPARTINA LN COL MO 65203,"Lichty, Curtis",11:30 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-15
SITE-197357-2026,BLDR-001359-2025,Permit,BSD-Yard Final (Residential),5321 SPARTINA LN COL MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Scheduled (permit),0,2026-05-15
BLDG-197351-2026,BLDR-002219-2026,Permit,BSD-Residential Final (Building and Trades),2011 BATES CREEK DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-15
FGAS-197384-2026,BLDR-002799-2026,Permit,BSD-Fuel Gas Tag,2719 EASLEY CABIN CIR COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
BLDG-197385-2026,BLDR-002799-2026,Permit,BSD-Framing and Rough In's,2719 EASLEY CABIN CIR COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
FGAS-197386-2026,BLDR-002799-2026,Permit,BSD-Fuel Gas Pressure,2719 EASLEY CABIN CIR COLUMBIA MO 65201,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
BLDG-197328-2026,BLDR-003030-2026,Permit,BSD-Framing and Rough In's,2824 EMERY DR COL MO 65202,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required (with fee),0,2026-05-15
ELEC-197329-2026,BLDR-003030-2026,Permit,BSD-Electrical Tag,2824 EMERY DR COL MO 65202,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-05-15
PLMB-197407-2026,BLDR-003147-2026,Permit,BSD-Plumbing Groundwork,2657 FRAZIER LOOP   COLUMBIA MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
PLMB-197406-2026,BLDR-003147-2026,Permit,BSD-Plumbing Sewer Lateral,2657 FRAZIER LOOP   COLUMBIA MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
BLDG-197396-2026,BLDR-003341-2026,Permit,BSD-Footing,5104 WHISPER DR COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
BLDG-197397-2026,BLDR-003342-2026,Permit,BSD-Footing,5100 WHISPER DR COLUMBIA MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-05-15
SITE-197290-2026,BLDR-003537-2025,Permit,BSD-Driveway (Residential),5859 ARBOR POINTE PKWY COL MO 65202,"Price, Bud",08:00 AM,08:00 AM,,Re-inspection required,0,2026-05-15
