View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
FIRENEWBI-200683-2026,BL026391,Business License,Fire - NEW Business Inspection,1000 W NIFONG BLVD STE 6-240 COLUMBIA MO 65203,"Gilstrap, Christopher",10:30 AM,10:30 AM,,Fire - Passed Inspection,0,2026-08-25
BLBI-205163-2026,BL026608,Business License,BSD-Business License,1116 Elleta Blvd BLVD Columbia MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-08-25
BLBI-205231-2026,BL026698,Business License,BSD-Business License,308 W BUSINESS LOOP 70 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-08-25
BLBI-205235-2026,BL026703,Business License,BSD-Business License,111 E WALNUT ST STE B COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-08-25
FIRE-PIPE-205270-2026,BLDC-000884-2026,Permit,Fire - Sprinkler System Piping Inspection,3401 BUTTONWOOD DR COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-25
FIRE-PIPE-205271-2026,BLDC-000884-2026,Permit,Fire - Sprinkler System Piping Inspection,3401 BUTTONWOOD DR COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-25
FFNL-205267-2026,BLDC-000884-2026,Permit,Fire Final (Building),3401 BUTTONWOOD DR COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-25
FIRE-FA-205268-2026,BLDC-000884-2026,Permit,Fire - Alarm Acceptance Testing,3401 BUTTONWOOD DR COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-25
FIRE-SFA-205269-2026,BLDC-000884-2026,Permit,Fire - Sprinkler Flow and Alarm Testing,3401 BUTTONWOOD DR COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-08-25
FSIR-205210-2026,BLDC-001623-2024,Permit,Final Special Inspection Report,318 PARK AVE COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-08-25
