View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-201530-2026,BL000760,Business License,BSD-Business License,4507 I-70 DRIVE SOUTHEAST COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-08
BLBI-201514-2026,BL008994,Business License,BSD-Business License,5200 E MEYER INDUSTRIAL DR   COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-08
FIRENEWBI-197715-2026,BL026236,Business License,Fire - NEW Business Inspection,2703 E BROADWAY STE 230 COLUMBIA MO 65201,"Gilstrap, Christopher",01:30 AM,01:30 AM,,Fire - Passed Inspection,0,2026-07-08
BLBI-201598-2026,BL026378,Business License,BSD-Business License,301 ROCKINGHAM DR COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-08
BLBI-201508-2026,BL026435,Business License,BSD-Business License,1701 W ASH ST   COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-08
BLBI-201612-2026,BL026443,Business License,BSD-Business License,705 RIDGEWAY PL COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-08
BLBI-201560-2026,BL026452,Business License,BSD-Business License,2620 FORUM BLVD STE C1 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-08
BLBI-201587-2026,BL026459,Business License,BSD-Business License,2100 Whitegate DR Columbia MO 65202,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-07-08
BLDG-201563-2026,BLDC-001637-2024,Permit,BSD-Final (Building and Trades),1751 W ASH ST   COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required,0,2026-07-08
BLDG-201554-2026,BLDC-001855-2024,Permit,BSD-Final (Building and Trades),612 PARK AVE COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-08
BLDG-201604-2026,BLDC-002297-2026,Permit,BSD-Footing,1101 PEBBLES PKWY COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-07-08
FFNL-201620-2026,BLDC-002676-2026,Permit,Fire Final (Building),2601 BERNADETTE PL COL MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-08
LCRT-201644-2026,BLDC-004424-2024,Permit,Exterior Lighting Compliance Certification,4109 LEDGER DR COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-08
FLT-201609-2026,BLDC-004424-2024,Permit,BSD-Lighting Controls Functional Testing,4109 LEDGER DR COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-08
STEC-201616-2026,BLDC-004424-2024,Permit,State Elevator Certification,4109 LEDGER DR COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-08
PLMB-201502-2026,BLDC-004766-2025,Permit,BSD-Plumbing Sewer Lateral,2529 N STADIUM BLVD COL MO 65202,"Tiffany, Andy",08:00 AM,08:00 AM,,Cancelled ,0,2026-07-08
PLMB-201556-2026,BLDC-004766-2025,Permit,BSD-Plumbing Sewer Lateral,2529 N STADIUM BLVD COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
FIRE-PIPE-201667-2026,BLDC-005033-2025,Permit,Fire - Sprinkler System Piping Inspection,1300 FELLOWS PL COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-07-08
FFNL-201669-2026,BLDC-005033-2025,Permit,Fire Final (Building),1300 FELLOWS PL COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-07-08
FIRE-FA-201665-2026,BLDC-005033-2025,Permit,Fire - Alarm Acceptance Testing,1300 FELLOWS PL COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-07-08
FIRE-PIPE-201670-2026,BLDC-005033-2025,Permit,Fire - Sprinkler System Piping Inspection,1300 FELLOWS PL COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Re-inspection required,0,2026-07-08
FIRE-SFA-201666-2026,BLDC-005033-2025,Permit,Fire - Sprinkler Flow and Alarm Testing,1300 FELLOWS PL COLUMBIA MO 65201,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-07-08
SITE-201558-2026,BLDR-000436-2026,Permit,BSD-Yard Final (Residential),708 ALTON AVE COLUMBIA MO 65201,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
SITE-201559-2026,BLDR-000437-2026,Permit,BSD-Yard Final (Residential),710 ALTON AVE COLUMBIA MO 65201,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
BLDG-201583-2026,BLDR-001252-2026,Permit,BSD-Insulation,707 ROLLINS RD COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
BLDG-201582-2026,BLDR-001252-2026,Permit,BSD-Framing and Rough In's,707 ROLLINS RD COLUMBIA MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
BLDG-201500-2026,BLDR-002024-2026,Permit,BSD-Insulation,7501 FILLINGHAM CT COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-07-08
SITE-201592-2026,BLDR-002287-2026,Permit,BSD-Driveway (Residential),5312 WHISPER DR COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
SITE-201591-2026,BLDR-002287-2026,Permit,BSD-Sidewalk (Residential),5312 WHISPER DR COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
BLDG-201595-2026,BLDR-002591-2026,Permit,BSD-Residential Final (Building and Trades),202 S GLENWOOD AVE COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
ELEC-201611-2026,BLDR-003019-2026,Permit,BSD-Electrical Tag,5724 KESTREL LOOP COL MO 65202,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
BLDG-201461-2026,BLDR-003363-2026,Permit,BSD-Footing,5961 S HWY KK COL MO 65203,"Hombs, Josh",08:00 AM,08:00 AM,,Cancelled ,0,2026-07-08
BLDG-201452-2026,BLDR-003949-2026,Permit,BSD-Insulation,4405 ROYAL COUNTY RD COLUMBIA MO 65201,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-07-08
FGAS-201572-2026,BLDR-003949-2026,Permit,BSD-Fuel Gas Pressure,4405 ROYAL COUNTY RD COLUMBIA MO 65201,"Hazlett, Harlan",09:10 AM,09:10 AM,,Passed Permit Inspection,0,2026-07-08
FGAS-201571-2026,BLDR-003949-2026,Permit,BSD-Fuel Gas Tag,4405 ROYAL COUNTY RD COLUMBIA MO 65201,"Hazlett, Harlan",09:10 AM,09:10 AM,,Passed Permit Inspection,0,2026-07-08
BLDG-201441-2026,BLDR-004398-2026,Permit,BSD-Framing and Rough In's,6206 UPPER BRIDLE BEND DR COL MO 65201,"Hazlett, Harlan",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-07-08
SITE-201589-2026,BLDR-006399-2025,Permit,BSD-Sidewalk (Residential),5224 WHISPER DR COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
SITE-201590-2026,BLDR-006442-2025,Permit,BSD-Sidewalk (Residential),5220 WHISPER DR COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
SITE-201116-2026,BLDR-006446-2025,Permit,BSD-Yard Final (Residential),5201 STORMY DR COLUMBIA MO 65203,"Allen, Cody",01:00 PM,01:00 PM,,Completed,0,2026-07-08
DECK-201516-2026,DECK-004056-2026,Permit,BSD-Deck Only Final,2503 BARRYS BLUFF CT COL MO 65203,"Hombs, Josh",08:00 AM,08:00 AM,,Re-inspection required,0,2026-07-08
BLDG-201503-2026,DECK-004993-2026,Permit,BSD-Deck Piers,5600 THORNBROOK PKWY COL MO 65203,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-07-08
DEMO-199230-2026,DEMO-004427-2026,Permit,BSD-Pick Up Demo Sign,2101 W BROADWAY STE V COLUMBIA MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-07-08
ELEC-201608-2026,ELEC-004919-2026,Permit,BSD-Electrical Final,1209 HAVEN RD COL MO 65202,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
ELEC-201594-2026,ELEC-005004-2026,Permit,BSD-Electrical Tag,1405 ASHLAND RD APT C COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
FGAS-201580-2026,FGAS-004753-2026,Permit,BSD-Fuel Gas Tag,111 E FOREST AVE COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
FGAS-201581-2026,FGAS-004753-2026,Permit,BSD-Fuel Gas Pressure,111 E FOREST AVE COL MO 65203,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-07-08
MECH-201465-2026,MECH-003087-2026,Permit,BSD-Mechanical Final,1308 STONEHAVEN RD COLUMBIA MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Cancelled ,0,2026-07-08
MECH-201520-2026,MECH-004895-2026,Permit,BSD-Mechanical Final,2701 WOODBERRY CT COL MO 65203,"Hombs, Josh",12:00 PM,12:00 PM,,Passed Permit Inspection,0,2026-07-08
ONSHNI-201512-2026,OHEN-054588-2025,Code Case,ONS - Health Nuisance Inspection,2930 NORTHLAND DR COLUMBIA MO 65202,"McClintic, Jason",09:00 AM,09:00 AM,,In Violation,0,2026-07-08
ONSHNI-199722-2026,OHN-058954-2026,Code Case,ONS - Health Nuisance Inspection,2400 W BROADWAY COLUMBIA MO 65203,"Frank, Lisa",04:44 PM,04:44 PM,,Passed Code Inspection,0,2026-07-08
