View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
FIRENEWBI-197458-2026,BL026187,Business License,Fire - NEW Business Inspection,904 ELM ST STE 212 COLUMBIA MO 65201,"Gilstrap, Christopher",09:00 AM,09:00 AM,,Construction Permit (Pass),0,2026-06-10
BLBI-199305-2026,BL026286,Business License,BSD-Business License,3901 S PROVIDENCE RD STE D COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-06-10
BLBI-199316-2026,BL026322,Business License,BSD-Business License,5757 N GREEN BAY AVE GLENDALE WI 53209,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-06-10
ACI-199329-2026,BLDC-000935-2025,Permit,BSD-Above Ceiling Inspection,4170 BETHEL ST COLUMBIA MO 65203,"Hazlett, Harlan",07:51 AM,07:51 AM,,Re-inspection required,0,2026-06-10
ACI-199372-2026,BLDC-000935-2025,Permit,BSD-Above Ceiling Inspection,4170 BETHEL ST COLUMBIA MO 65203,"Hazlett, Harlan",11:14 AM,11:14 AM,,Partial Pass Permit Inspection,0,2026-06-10
SITE-199282-2026,BLDC-001979-2024,Permit,BSD-Yard Final (Commercial),5400 SINCLAIR RD COLUMBIA MO 65203,"Allen, Cody",08:00 AM,08:00 AM,,Re-inspection required,0,2026-06-10
ARBR-199283-2026,BLDC-001979-2024,Permit,BSD-Landscaping,5400 SINCLAIR RD COLUMBIA MO 65203,"Fritz, Steven",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-06-10
ACI-199340-2026,BLDC-002676-2026,Permit,BSD-Above Ceiling Inspection,2601 BERNADETTE PL COL MO 65203,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-06-10
FIRE-FA-199415-2026,BLDC-003153-2025,Permit,Fire - Alarm Acceptance Testing,109 E TEXAS AVE COLUMBIA MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-06-10
FIRE-PIPE-199418-2026,BLDC-003153-2025,Permit,Fire - Sprinkler System Piping Inspection,109 E TEXAS AVE COLUMBIA MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-06-10
FIRE-PIPE-199417-2026,BLDC-003153-2025,Permit,Fire - Sprinkler System Piping Inspection,109 E TEXAS AVE COLUMBIA MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-06-10
FFNL-199419-2026,BLDC-003153-2025,Permit,Fire Final (Building),109 E TEXAS AVE COLUMBIA MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-06-10
FIRE-SFA-199416-2026,BLDC-003153-2025,Permit,Fire - Sprinkler Flow and Alarm Testing,109 E TEXAS AVE COLUMBIA MO 65202,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-06-10
ACI-199358-2026,BLDC-003153-2025,Permit,BSD-Above Ceiling Inspection,109 E TEXAS AVE COLUMBIA MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Partial Pass Permit Inspection,0,2026-06-10
ACRT-199327-2026,BLDC-004192-2022,Permit,Accessible Route Certification,2500 E BUSINESS LOOP 70 COLUMBIA MO 65201,"Hazlett, Harlan",07:48 AM,07:48 AM,,Passed Permit Inspection,0,2026-06-10
ECC-199328-2026,BLDC-004192-2022,Permit,BSD-Energy Compliance Certification,2500 E BUSINESS LOOP 70 COLUMBIA MO 65201,"Hazlett, Harlan",07:49 AM,07:49 AM,,Passed Permit Inspection,0,2026-06-10
BLDG-199299-2026,BLDC-005464-2024,Permit,BSD-Framing and Rough In's,1300 WOODRAIL AVE COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-06-10
ACI-199298-2026,BLDC-005464-2024,Permit,BSD-Above Ceiling Inspection,1300 WOODRAIL AVE COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Partial Pass Permit Inspection,0,2026-06-10
BLDG-199326-2026,BLDC-006405-2025,Permit,BSD-Final (Building and Trades),725 SCOTT BLVD STE 103 COL MO 65203,"Hazlett, Harlan",07:06 AM,07:06 AM,,Passed Permit Inspection,0,2026-06-10
BLDG-199342-2026,BLDR-001064-2026,Permit,BSD-Framing and Rough In's,6409 CROOKED SWITCH CT COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-06-10
FGAS-199343-2026,BLDR-001064-2026,Permit,BSD-Fuel Gas Pressure,6409 CROOKED SWITCH CT COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Scheduled (permit),0,2026-06-10
FGAS-199341-2026,BLDR-001064-2026,Permit,BSD-Fuel Gas Tag,6409 CROOKED SWITCH CT COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-06-10
BLDG-199160-2026,BLDR-001160-2026,Permit,BSD-Framing and Rough In's,1500 WILSON AVE COLUMBIA MO 65201,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required (with fee),0,2026-06-10
SITE-199378-2026,BLDR-001235-2026,Permit,BSD-Sidewalk (Residential),3505 JAGGED LEAF DR COLUMBIA MO 65202,"Price, Bud",12:11 PM,12:11 PM,,Passed Permit Inspection,0,2026-06-10
PLMB-199330-2026,BLDR-001544-2026,Permit,BSD-Plumbing Sewer Lateral,3706 RAMBLE DR COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
PLMB-199331-2026,BLDR-001544-2026,Permit,BSD-Plumbing Groundwork,3706 RAMBLE DR COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
BLDG-199336-2026,BLDR-001697-2026,Permit,BSD-Framing and Rough In's,205 ASH DOWN DR COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-06-10
FGAS-199335-2026,BLDR-001697-2026,Permit,BSD-Fuel Gas Pressure,205 ASH DOWN DR COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
FGAS-199334-2026,BLDR-001697-2026,Permit,BSD-Fuel Gas Tag,205 ASH DOWN DR COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
FGAS-199366-2026,BLDR-002348-2026,Permit,BSD-Fuel Gas Pressure,2908 RIVINGTON DR COL MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
FGAS-199368-2026,BLDR-002348-2026,Permit,BSD-Fuel Gas Tag,2908 RIVINGTON DR COL MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
BLDG-199365-2026,BLDR-002348-2026,Permit,BSD-Framing and Rough In's,2908 RIVINGTON DR COL MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
ELEC-199367-2026,BLDR-002348-2026,Permit,BSD-Electrical Tag,2908 RIVINGTON DR COL MO 65203,"Lichty, Curtis",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
SITE-199346-2026,BLDR-002564-2026,Permit,BSD-Sidewalk (Residential),5213 WHISPER DR COLUMBIA MO 65203,"Allen, Cody",09:29 AM,09:29 AM,,Passed Permit Inspection,0,2026-06-10
BLDG-199352-2026,BLDR-002615-2025,Permit,BSD-Framing and Rough In's,3021 MILKWEED LOOP COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Re-inspection required,0,2026-06-10
ELEC-199351-2026,BLDR-002615-2025,Permit,BSD-Electrical Tag,3021 MILKWEED LOOP COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Re-inspection required,0,2026-06-10
FGAS-199349-2026,BLDR-002615-2025,Permit,BSD-Fuel Gas Pressure,3021 MILKWEED LOOP COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
FGAS-199350-2026,BLDR-002615-2025,Permit,BSD-Fuel Gas Tag,3021 MILKWEED LOOP COL MO 65202,"Tiffany, Andy",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
PLMB-199357-2026,BLDR-002898-2026,Permit,BSD-Plumbing Sewer Lateral,1021 BROCKTON DR COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
PLMB-199356-2026,BLDR-002898-2026,Permit,BSD-Plumbing Groundwork,1021 BROCKTON DR COLUMBIA MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
PLMB-199370-2026,BLDR-003088-2026,Permit,BSD-Plumbing Groundwork,2700 EMERY DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
PLMB-199363-2026,BLDR-003088-2026,Permit,BSD-Plumbing Sewer Lateral,2700 EMERY DR COL MO 65202,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-06-10
